batch,cell_id,commit,device,diffusion,dimension,ess_threshold,family,final_ess_fraction,groups,initialization,integrability_certificate,kind,ks_mean,mean_absolute_error,method,minimum_ess_fraction,particles,peak_gpu_bytes,positive_mass_error,recorded_ks_mean,recorded_mean_absolute_error,recorded_positive_mass_error,recorded_variance_relative_error,recorded_w1_mean,relative_path,resampling_count,sampling,score_evaluations,seconds,seed,status,steps,u_max,variance_relative_error,w1_mean
4,0,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,1,0.5,gaussian,0.9736431262097782,64,standard normal at finite u_max,finite,oracle,0.09615032934660406,0.027707978325210103,full,0.17778709997228925,8192,42406912,1.3000539089702556e-08,0.09615027532427045,0.027707978325210103,1.3000722942635434e-08,0.1322802828389411,0.027849978675606183,oracle/task_000/cell_0000,42,with_replacement,268435456,0.5807515000924468,0,completed,512,20.0,0.13228028283894133,0.027849372039591026
2,40,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,1,0.5,gaussian,0.5168628758223663,64,standard normal at finite u_max,infinite,oracle,0.20993583569199314,0.06013226454702503,unbiased,0.00023595368407363867,8192,2821632,1.3000539089702556e-08,0.20993581410923967,0.06013226454702458,1.300072227650162e-08,0.08814975165078154,0.06013468301653111,oracle/task_000/cell_0040,158,with_replacement,8388608,0.7664186079055071,3,completed,512,20.0,0.08814975165078087,0.06013491683795351
4,80,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,1,0.5,gaussian,0.9813997084175093,64,standard normal at finite u_max,infinite,oracle,0.05096166721577022,0.012300499136775889,unbiased,0.22458399351453526,8192,5180928,1.3000539089702556e-08,0.05096190254228411,0.012300499136775889,1.3000722942635434e-08,0.11713194043481501,0.012648395156596229,oracle/task_000/cell_0080,87,with_replacement,67108864,2.848844771273434,1,completed,2048,20.0,0.11713194043481523,0.012649597865554009
8,120,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,1,0.5,gaussian,0.6697777465883651,64,standard normal at finite u_max,infinite,oracle,0.08398335501819099,0.021371249318342223,unbiased,0.361517582446938,8192,9899520,1.3000539089702556e-08,0.08398355950666714,0.02137124931834189,1.3000722498546224e-08,0.14742915607129548,0.02151703537720521,oracle/task_000/cell_0120,47,with_replacement,134217728,2.8321084417402744,4,completed,2048,20.0,0.14742915607129525,0.021519517714260916
2,160,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,8,0.5,gaussian,0.5294973660407416,64,standard normal at finite u_max,infinite,oracle,0.21425173438295014,0.03335577560614643,unbiased,0.00012300715551966915,8192,24014848,1.3000539089702556e-08,0.2142518072660724,0.03335577560614643,1.3000722498546224e-08,0.5871775921821756,0.047167011268327806,oracle/task_000/cell_0160,246,without_replacement,8388608,0.7907757256180048,2,completed,512,20.0,0.5871775921821757,0.04716739152925392
4,200,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,8,0.5,gaussian,0.7504014449088648,64,standard normal at finite u_max,infinite,oracle,0.15989118224168677,0.035807474326790115,unbiased,0.0006435413979329669,8192,41971712,1.3000539089702556e-08,0.1598912210983478,0.03580747432679014,1.300072272059083e-08,0.34623910455675494,0.04060004806889014,oracle/task_000/cell_0200,593,without_replacement,67108864,2.991714522242546,0,completed,2048,20.0,0.34623910455675505,0.040599761215181766
8,240,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,8,0.5,gaussian,0.9207297408188455,64,standard normal at finite u_max,infinite,oracle,0.07391958321457304,0.016029332197569912,unbiased,0.0009524592473359231,8192,77885440,1.3000539089702556e-08,0.07391970036019971,0.01602933219756994,1.300072272059083e-08,0.19866031262737358,0.017949745221721224,oracle/task_000/cell_0240,441,without_replacement,134217728,3.020036978647113,3,completed,2048,20.0,0.19866031262737377,0.017949366363372625
2,280,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,1,0.5,mixture,0.9979116133893188,64,standard normal at finite u_max,finite,oracle,0.6950048732368149,1.6944192101238489,tail,0.0007225166451480768,8192,2821632,0.6948531129377623,0.6950048750600697,1.6944192101238496,0.6948531129377666,0.9883133768220308,1.6944993079869604,oracle/task_000/cell_0280,119,with_replacement,8388608,1.008637105114758,1,completed,512,20.0,0.9883133768220308,1.6945006481062417
4,320,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,1,0.5,mixture,0.9088104408666966,64,standard normal at finite u_max,finite,oracle,0.6949662460067686,1.6950015006923427,tail,0.00022002648323339854,8192,5180928,0.6948531129377623,0.6949662497524152,1.6950015006923431,0.6948531129377664,0.9876294624610769,1.695009947682395,oracle/task_000/cell_0320,94,with_replacement,16777216,1.0033452855423093,4,completed,512,20.0,0.9876294624610769,1.6950097146551855
8,360,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,1,0.5,mixture,0.9501352927555107,64,standard normal at finite u_max,finite,oracle,0.17745800625990038,0.4145609681703935,tail,0.4653546442344881,8192,9899520,0.17003587822805344,0.1774580512110997,0.4145609681703938,0.17003587822805727,0.20316702453658375,0.4146409090721451,oracle/task_000/cell_0360,16,with_replacement,134217728,3.846218320541084,2,completed,2048,20.0,0.20316702453658353,0.41464116977711296
