family,groups,dimension,steps,batch,finite_normalizer,failure_step,coordinate_terminal_variance
gaussian,16,8,2048,15,True,0,"[0.05645401722231351, 0.05640992993540364, 0.056432168653373076, 0.05645009511131875, 0.05638017798112689, 0.0564467280032876, 0.05643835849159398, 0.056399969907612015]"
gaussian,16,8,2048,16,True,0,"[0.054088247922558876, 0.05408824792259012, 0.05408824792257843, 0.054088247922563115, 0.054088247922595714, 0.05408824792256652, 0.054088247922573794, 0.05408824792259301]"
gaussian,64,1,128,2,False,87,
gaussian,64,1,128,3,False,87,
gaussian,64,1,128,4,False,87,
gaussian,64,1,128,5,False,87,
gaussian,64,1,128,6,False,87,
gaussian,64,1,128,7,False,87,
gaussian,64,1,128,8,False,87,
gaussian,64,1,128,9,False,88,
gaussian,64,1,128,10,False,88,
gaussian,64,1,128,11,False,88,
gaussian,64,1,128,12,False,88,
gaussian,64,1,128,13,False,88,
gaussian,64,1,128,14,False,88,
gaussian,64,1,128,15,False,88,
gaussian,64,1,128,16,False,88,
gaussian,64,1,128,17,False,88,
gaussian,64,1,128,18,False,88,
gaussian,64,1,128,19,False,88,
gaussian,64,1,128,20,False,89,
gaussian,64,1,128,21,False,89,
gaussian,64,1,128,22,False,89,
gaussian,64,1,128,23,False,89,
gaussian,64,1,128,24,False,89,
gaussian,64,1,128,25,False,89,
gaussian,64,1,128,26,False,89,
gaussian,64,1,128,27,False,90,
gaussian,64,1,128,28,False,90,
gaussian,64,1,128,29,False,90,
gaussian,64,1,128,30,False,90,
gaussian,64,1,128,31,False,90,
gaussian,64,1,128,32,False,91,
gaussian,64,1,128,33,False,91,
gaussian,64,1,128,34,False,91,
gaussian,64,1,128,35,False,91,
gaussian,64,1,128,36,False,92,
gaussian,64,1,128,37,False,92,
gaussian,64,1,128,38,False,92,
gaussian,64,1,128,39,False,92,
gaussian,64,1,128,40,False,93,
gaussian,64,1,128,41,False,93,
gaussian,64,1,128,42,False,93,
gaussian,64,1,128,43,False,94,
gaussian,64,1,128,44,False,94,
gaussian,64,1,128,45,False,94,
gaussian,64,1,128,46,False,95,
gaussian,64,1,128,47,False,95,
gaussian,64,1,128,48,False,95,
gaussian,64,1,128,49,False,96,
gaussian,64,1,128,50,False,96,
gaussian,64,1,128,51,False,96,
gaussian,64,1,128,52,False,97,
gaussian,64,1,128,53,False,97,
gaussian,64,1,128,54,False,97,
gaussian,64,1,128,55,False,98,
gaussian,64,1,128,56,False,98,
gaussian,64,1,128,57,False,99,
gaussian,64,1,128,58,False,99,
gaussian,64,1,128,59,False,99,
gaussian,64,1,128,60,False,99,
gaussian,64,1,128,61,False,100,
gaussian,64,1,128,62,False,100,
gaussian,64,1,128,63,False,100,
gaussian,64,1,128,64,False,100,
gaussian,64,1,512,2,False,357,
gaussian,64,1,512,3,False,357,
gaussian,64,1,512,4,False,357,
gaussian,64,1,512,5,False,357,
gaussian,64,1,512,6,False,357,
gaussian,64,1,512,7,False,357,
gaussian,64,1,512,8,False,358,
gaussian,64,1,512,9,False,358,
gaussian,64,1,512,10,False,358,
gaussian,64,1,512,11,False,358,
gaussian,64,1,512,12,False,359,
gaussian,64,1,512,13,False,359,
gaussian,64,1,512,14,False,360,
gaussian,64,1,512,15,False,360,
gaussian,64,1,512,16,False,361,
gaussian,64,1,512,17,False,361,
gaussian,64,1,512,18,False,362,
gaussian,64,1,512,19,False,362,
gaussian,64,1,512,20,False,363,
gaussian,64,1,512,21,False,364,
gaussian,64,1,512,22,False,365,
gaussian,64,1,512,23,False,365,
gaussian,64,1,512,24,False,366,
gaussian,64,1,512,25,False,367,
gaussian,64,1,512,26,False,368,
gaussian,64,1,512,27,False,369,
gaussian,64,1,512,28,False,370,
gaussian,64,1,512,29,False,371,
gaussian,64,1,512,30,False,372,
gaussian,64,1,512,31,False,374,
gaussian,64,1,512,32,False,375,
gaussian,64,1,512,33,False,376,
gaussian,64,1,512,34,False,378,
gaussian,64,1,512,35,False,379,
gaussian,64,1,512,36,False,381,
gaussian,64,1,512,37,False,382,
gaussian,64,1,512,38,False,384,
gaussian,64,1,512,39,False,386,
gaussian,64,1,512,40,False,388,
gaussian,64,1,512,41,False,389,
gaussian,64,1,512,42,False,392,
gaussian,64,1,512,43,False,394,
gaussian,64,1,512,44,False,396,
gaussian,64,1,512,45,False,399,
gaussian,64,1,512,46,False,401,
gaussian,64,1,512,47,False,404,
gaussian,64,1,512,48,False,407,
gaussian,64,1,512,49,False,410,
gaussian,64,1,512,50,False,414,
gaussian,64,1,512,51,False,417,
gaussian,64,1,512,52,False,422,
gaussian,64,1,512,53,False,426,
gaussian,64,1,512,54,False,431,
gaussian,64,1,512,55,False,437,
gaussian,64,1,512,56,False,444,
gaussian,64,1,512,57,False,452,
gaussian,64,1,512,58,False,462,
gaussian,64,1,512,59,False,478,
gaussian,64,1,512,60,True,0,[0.018006294400375936]
gaussian,64,1,512,61,True,0,[0.014843738611903932]
gaussian,64,1,512,62,True,0,[0.01453819999827423]
gaussian,64,1,512,63,True,0,[0.014382247529766723]
gaussian,64,1,512,64,True,0,[0.014233574818721787]
gaussian,64,1,2048,2,False,1434,
gaussian,64,1,2048,3,False,1434,
gaussian,64,1,2048,4,False,1434,
gaussian,64,1,2048,5,False,1435,
gaussian,64,1,2048,6,False,1436,
gaussian,64,1,2048,7,False,1436,
gaussian,64,1,2048,8,False,1438,
gaussian,64,1,2048,9,False,1439,
gaussian,64,1,2048,10,False,1440,
