batch,cell_id,checkpoint_sha256,commit,composed_true_to_learned_kl_mean,composed_true_to_learned_w1_mean,dataset_seed,device,diffusion,dimension,ess_threshold,family,final_ess_fraction,groups,initialization,integrability_certificate,kind,ks_mean,mean_absolute_error,method,minimum_ess_fraction,parameter_prediction_seconds,particles,peak_gpu_bytes,positive_mass_error,recorded_ks_mean,recorded_mean_absolute_error,recorded_positive_mass_error,recorded_variance_relative_error,recorded_w1_mean,relative_path,resampling_count,sampling,score_evaluations,seconds,seed,status,steps,training_seed,true_ks_mean,true_mean_absolute_error,true_positive_mass_error,true_variance_relative_error,true_w1_mean,u_max,variance_relative_error,w1_mean
4,0,ce9344dce5f56b4cda176bcdb36371f48911618aa600da1465617419b4995b69,4b74724c4225fcfe043fdd749fb740fff4cf33c8,0.0008171741636322943,0.007880182188503376,0,cuda,1.0,1,0.5,learned_mixture,0.8278914967670759,16,standard normal at finite u_max,finite,learned,0.008202627378051996,0.0032675245355336946,full,0.4165664076340674,2.128564417362213,32768,43918848,0.003443453991461034,0.008202697283548499,0.0032675245355336946,0.00344346875996957,0.023045601856591436,0.003550356681530947,learned/task_000/cell_0000,10,with_replacement,268435456,0.5863851755857468,100000,completed,512,0,0.01666326252364564,0.004612657652972196,0.0019072372084817067,0.02495819053819337,0.006274698843674733,20.0,0.023045601856591214,0.003550922200703403
4,40,ce9344dce5f56b4cda176bcdb36371f48911618aa600da1465617419b4995b69,4b74724c4225fcfe043fdd749fb740fff4cf33c8,0.0016512152820836073,0.01161702053048948,1,cuda,1.0,1,0.5,learned_mixture,0.9575510716431579,16,standard normal at finite u_max,finite,learned,0.03690756786944538,0.016200813180527462,full,0.3875226356504876,0.0049200281500816345,32768,43918848,1.408322705676035e-06,0.036907521818916655,0.01620081318052713,1.4083266512976422e-06,0.03925974085544337,0.016228520593531026,learned/task_000/cell_0040,12,with_replacement,268435456,0.5797946751117706,100001,completed,512,0,0.014542561733442538,0.00458379265003539,1.7465871279265244e-06,0.03186642627148739,0.005279228911010768,20.0,0.03925974085544315,0.01622881743796949
4,80,ce9344dce5f56b4cda176bcdb36371f48911618aa600da1465617419b4995b69,4b74724c4225fcfe043fdd749fb740fff4cf33c8,0.00012606658824418186,0.003226943742708743,2,cuda,1.0,1,0.5,learned_mixture,0.7956930186842289,16,standard normal at finite u_max,finite,learned,0.04230204831220291,0.02062672726886078,full,0.44408695178295343,0.005101144313812256,32768,43918848,0.01620204921329868,0.04230202599791444,0.02062672726886089,0.016202082722390904,0.006378845392099208,0.020810131567908393,learned/task_000/cell_0080,8,with_replacement,268435456,0.5798352248966694,100002,completed,512,0,0.048416018227227076,0.023853412497377158,0.019221912412854064,0.009513164904664473,0.024029923795758083,20.0,0.006378845392099652,0.020810823439992125
4,120,ce9344dce5f56b4cda176bcdb36371f48911618aa600da1465617419b4995b69,4b74724c4225fcfe043fdd749fb740fff4cf33c8,9.986801702198109e-05,0.0032971395256144328,3,cuda,1.0,1,0.5,learned_mixture,0.5474050443545441,16,standard normal at finite u_max,finite,learned,0.04414019685422732,0.02724344707046833,full,0.43082903984471815,0.004894014447927475,32768,43918848,2.8637123672403675e-08,0.04414020048831302,0.027243447070467663,2.8637255455876698e-08,0.030743399496413026,0.02732939781975474,learned/task_000/cell_0120,10,with_replacement,268435456,0.5811260417103767,100003,completed,512,0,0.03810819850368896,0.023946307544853385,2.696830181392329e-08,0.03245248643971266,0.02403795241889622,20.0,0.030743399496412027,0.02732875198060805
4,160,ce9344dce5f56b4cda176bcdb36371f48911618aa600da1465617419b4995b69,4b74724c4225fcfe043fdd749fb740fff4cf33c8,0.0005352084578247596,0.006672137013516965,4,cuda,1.0,1,0.5,learned_mixture,0.998917613049541,16,standard normal at finite u_max,finite,learned,0.016301191958469047,0.00128263445621128,full,0.4099766752693441,0.00487494096159935,32768,43918848,0.0018090492200857344,0.016301283253307236,0.0012826344562112506,0.0018090523449207918,0.11071527071345943,0.008949966550314265,learned/task_000/cell_0160,10,with_replacement,268435456,0.5857841968536377,100004,completed,512,0,0.026086200447188207,0.007954771469728892,0.0147353796159847,0.11875649805155097,0.011727514655558286,20.0,0.11071527071345999,0.008949945938451227
4,200,642c9ac8b37cc879a46c5dc332c9d99eb4ae9d0bd2c4b38a1ce3bbe1af22951a,4b74724c4225fcfe043fdd749fb740fff4cf33c8,2.844010151597788e-05,0.0011679797502674278,0,cuda,1.0,1,0.5,learned_mixture,0.7203250343224241,16,standard normal at finite u_max,finite,learned,0.030893007476631817,0.011315353408885231,full,0.4085054170176843,0.004901424050331116,32768,43918848,0.0010470793776696276,0.030893029314954967,0.011315353408885176,0.001047093424260303,0.03363355161213133,0.011994738520347938,learned/task_000/cell_0200,9,with_replacement,268435456,0.5772918872535229,101000,completed,512,1,0.02821287774140968,0.01024332429660485,0.0006055711290661771,0.02684037632489311,0.01088141119798216,20.0,0.03363355161213133,0.011993745083611434
4,240,642c9ac8b37cc879a46c5dc332c9d99eb4ae9d0bd2c4b38a1ce3bbe1af22951a,4b74724c4225fcfe043fdd749fb740fff4cf33c8,2.4921865625736506e-05,0.001357100382033677,1,cuda,1.0,1,0.5,learned_mixture,0.9065703981637434,16,standard normal at finite u_max,finite,learned,0.053683208331405496,0.025381741961564064,full,0.4477113981712451,0.004910387098789215,32768,43918848,1.8766097739097987e-06,0.05368326503504767,0.025381741961564508,1.8766149152416034e-06,0.11755768795270727,0.025771674658456704,learned/task_000/cell_0240,10,with_replacement,268435456,0.5764479115605354,101001,completed,512,1,0.05655051629309865,0.02673161252267986,1.7465871279265244e-06,0.11690708967466878,0.027083173136539056,20.0,0.11755768795270727,0.0257703390939278
4,280,642c9ac8b37cc879a46c5dc332c9d99eb4ae9d0bd2c4b38a1ce3bbe1af22951a,4b74724c4225fcfe043fdd749fb740fff4cf33c8,0.001157580044308242,0.009973517081374476,2,cuda,1.0,1,0.5,learned_mixture,0.9979040208109254,16,standard normal at finite u_max,finite,learned,0.034345799793844445,0.017739830873692852,full,0.4356598298421745,0.004870668053627014,32768,43918848,0.026639929978725246,0.0343458653881028,0.017739830873692908,0.02663996269223136,0.091335772752687,0.01775766975335325,learned/task_000/cell_0280,8,with_replacement,268435456,0.5784092545509338,101002,completed,512,1,0.052302632906888635,0.02771334795506536,0.034338367311726375,0.08803849691149768,0.02772483298668492,20.0,0.09133577275268767,0.017757659495545374
4,320,642c9ac8b37cc879a46c5dc332c9d99eb4ae9d0bd2c4b38a1ce3bbe1af22951a,4b74724c4225fcfe043fdd749fb740fff4cf33c8,0.0013892843987064675,0.012532149162022515,3,cuda,1.0,1,0.5,learned_mixture,0.6619002237966813,16,standard normal at finite u_max,finite,learned,0.04639978109265652,0.026874654895037597,full,0.44156422980674515,0.004857707768678665,32768,43918848,2.8719018940748242e-08,0.04639980106343522,0.02687465489503782,2.8719149280931333e-08,0.06057258966546164,0.026970610585817,learned/task_000/cell_0320,10,with_replacement,268435456,0.5800318941473961,101003,completed,512,1,0.06600260600116392,0.039406801854478424,2.696830181392329e-08,0.04830968930909918,0.0394709559939693,20.0,0.06057258966546197,0.02697215320973321
4,360,642c9ac8b37cc879a46c5dc332c9d99eb4ae9d0bd2c4b38a1ce3bbe1af22951a,4b74724c4225fcfe043fdd749fb740fff4cf33c8,0.00031463144343195706,0.005149356238079656,4,cuda,1.0,1,0.5,learned_mixture,0.661689650374102,16,standard normal at finite u_max,finite,learned,0.027054169144101525,0.013270105084140293,full,0.4409205287135774,0.00481773167848587,32768,43918848,0.02598947729408363,0.02705416034822361,0.013270105084140307,0.025989477772182856,0.03037695061214496,0.013413894268902249,learned/task_000/cell_0360,8,with_replacement,268435456,0.5748841278254986,101004,completed,512,1,0.03725342931867692,0.018419461322216887,0.03616205672906114,0.0357833006421564,0.018533316673391906,20.0,0.03037695061214496,0.01341281534777261
