family,groups,dimension,steps,display_method,batch,particles,u_max,cells,finite,w1_mean_mean,w1_mean_std,w1_mean_median,ks_mean_mean,ks_mean_std,ks_mean_median,seconds_mean,seconds_std,seconds_median
gaussian,64,1,512,Full,4,8192,20.0,5,5,0.015570353102075501,0.008268372180365965,0.0147013998709199,0.056133778662267375,0.030526154005796415,0.0614621577005179,0.5985258205793798,0.01979647498225801,0.5959772765636444
gaussian,64,1,512,Tail-WOR,2,8192,20.0,5,5,0.0162468081031776,0.008920593840160744,0.0170890261778496,0.05896936886074957,0.02762829282950053,0.0632427062931343,1.000253290683031,0.015392868662105666,1.0051234178245068
gaussian,64,1,512,Tail-WOR,4,8192,20.0,5,5,0.0162468081031776,0.008920593840160744,0.0170890261778496,0.05896936886074959,0.027628292829500394,0.0632427062931346,0.9991873800754547,0.01586271734698121,0.9986422322690488
gaussian,64,1,512,Tail-WOR,8,8192,20.0,5,5,0.0162468081031776,0.008920593840160744,0.0170890261778496,0.05896936886074951,0.027628292829500547,0.0632427062931345,0.9942211151123047,0.03816303108187985,0.9790955930948256
gaussian,64,1,512,Tail-WR,2,8192,20.0,5,5,0.013688066888803441,0.008887969244279254,0.014105779871795,0.05448633308069273,0.037176855311395515,0.0537782617263815,1.0182351976633073,0.0365068815592493,1.0172143876552582
gaussian,64,1,512,Tail-WR,4,8192,20.0,5,5,0.013688066888803422,0.008887969244279271,0.014105779871795,0.05448633308069276,0.037176855311395564,0.0537782617263815,0.9990477405488492,0.016642623306716783,0.9998772442340852
gaussian,64,1,512,Tail-WR,8,8192,20.0,5,5,0.01368806688880346,0.008887969244279254,0.0141057798717951,0.054486333080692825,0.03717685531139549,0.0537782617263815,1.0176672413945198,0.026825195214827634,1.0101674906909466
gaussian,64,1,512,U-WOR,2,8192,20.0,5,0,0.07638883028342068,0.049739641609862946,0.0442559541047715,0.2499934167938135,0.12682729857503083,0.1651620484038048,0.7740248554386199,0.051144132117767256,0.7475593239068985
gaussian,64,1,512,U-WOR,4,8192,20.0,5,0,0.028713608124497657,0.009350268286750252,0.0281583610638557,0.1027909281733258,0.03071344313928152,0.1084861006433524,0.744195944070816,0.014284144779352966,0.7416744008660316
gaussian,64,1,512,U-WOR,8,8192,20.0,5,0,0.02643798851815856,0.018124561462663235,0.0208598024785762,0.09385557170740058,0.05310757094429052,0.0783693953371706,0.7428937219083309,0.012586100248700209,0.7458327561616898
gaussian,64,1,512,U-WR,2,8192,20.0,5,0,0.05481319814281366,0.02766636594770405,0.0509437160317435,0.19769042688980204,0.09083180392835748,0.189735417957515,0.7824516239110381,0.01924406037088313,0.7711807545274496
gaussian,64,1,512,U-WR,4,8192,20.0,5,0,0.030506655948867617,0.012185465959000677,0.0350389535525039,0.11022338026593481,0.03913181233908429,0.1169031566670695,0.7705170114059001,0.013630886589390314,0.7621961105614901
gaussian,64,1,512,U-WR,8,8192,20.0,5,0,0.02313108209728542,0.01507691568603539,0.0221785963900028,0.08567902106390891,0.05088941562917179,0.0885886609477844,0.7512739289551973,0.009201867429239638,0.746806344948709
gaussian,64,1,2048,Full,4,8192,20.0,5,5,0.02059306832696458,0.014876300121101969,0.0158454428092654,0.0778278397339213,0.0478306321936705,0.0649120073104987,2.2595158934593202,0.04844274437396598,2.2673996910452843
gaussian,64,1,2048,Tail-WOR,2,8192,20.0,5,5,0.016412842359621222,0.008727491589567768,0.0149828722310225,0.06331212403498912,0.03524559090697829,0.0515052507449767,3.858726482093334,0.06973309273133006,3.840900357812643
gaussian,64,1,2048,Tail-WOR,4,8192,20.0,5,5,0.0164128423596213,0.008727491589567727,0.0149828722310226,0.06331212403498918,0.03524559090697829,0.0515052507449769,3.8969932191073893,0.05430079858457629,3.9223552346229553
gaussian,64,1,2048,Tail-WOR,8,8192,20.0,5,5,0.01641284235962128,0.008727491589567751,0.0149828722310226,0.06331212403498933,0.0352455909069782,0.0515052507449769,3.8885582238435745,0.04538672910214571,3.8744205608963966
gaussian,64,1,2048,Tail-WR,2,8192,20.0,5,5,0.01758517976371532,0.0077248001693004335,0.0146794632013803,0.07018962527384932,0.02606181048209576,0.066263005017171,3.864084555208683,0.08911771820921219,3.8148352801799774
