family,groups,dimension,steps,display_method,batch,particles,u_max,cells,finite,w1_mean_mean,w1_mean_std,w1_mean_median,true_w1_mean_mean,true_w1_mean_std,true_w1_mean_median,ks_mean_mean,ks_mean_std,ks_mean_median,seconds_mean,seconds_std,seconds_median,parameter_prediction_seconds_mean,parameter_prediction_seconds_std,parameter_prediction_seconds_median,composed_true_to_learned_kl_mean_mean,composed_true_to_learned_kl_mean_std,composed_true_to_learned_kl_mean_median,composed_true_to_learned_w1_mean_mean,composed_true_to_learned_w1_mean_std,composed_true_to_learned_w1_mean_median
learned_mixture,16,1,512,Full,4,32768,20.0,25,25,0.02070967439043309,0.011609695699935979,0.0188291052488397,0.02400262246568781,0.014416650658917677,0.0237672997488234,0.040500045367472384,0.02103382339273296,0.0370021104764194,0.586619168817997,0.023355223991716613,0.5798352248966694,0.09012477949261662,0.424676848093368,0.0049103870987892,0.0007481580878594724,0.0007481247669005204,0.0005023595194851,0.006731954839735044,0.00435165127014769,0.0064680583749646
learned_mixture,16,1,512,Tail-WOR,4,32768,20.0,25,25,0.03386442078443434,0.022316224195968563,0.0210581557023949,0.03637183495256189,0.02528839447508456,0.0312225580429599,0.06569151427258244,0.03729309699081488,0.0460847763306673,1.0035211687535048,0.002326872952929474,1.0032246001064775,0.08764344081282611,0.4128607722384962,0.0048083141446113,0.0007481580878594724,0.0007481247669005204,0.0005023595194851,0.006731954839735044,0.00435165127014769,0.0064680583749646
learned_mixture,16,1,512,Tail-WR,4,32768,20.0,25,25,0.04195227190481144,0.039134778286108514,0.0231287251803302,0.044966488984770285,0.041473348447475494,0.0273234868660131,0.07535957040246467,0.06149740763481153,0.0443110074235939,0.9851975983381271,0.0029403795545389446,0.9853023737668992,0.08747396469116206,0.41342927141397096,0.0047489553689956,0.0007481580878594724,0.0007481247669005204,0.0005023595194851,0.006731954839735044,0.00435165127014769,0.0064680583749646
learned_mixture,16,1,512,U-WOR,4,32768,20.0,25,0,0.039191001732635095,0.033571765539489755,0.0325664514342628,0.04172894220630361,0.0350209437519482,0.0324882902674544,0.07772182259042756,0.06438805588621067,0.0630800354471157,0.7250092896819115,0.015768232812386842,0.7223646715283394,0.08936300784349438,0.42236022783665883,0.0048549622297286,0.0007481580878594724,0.0007481247669005204,0.0005023595194851,0.006731954839735044,0.00435165127014769,0.0064680583749646
learned_mixture,16,1,512,U-WR,4,32768,20.0,25,0,0.08282972253959418,0.06785021974379352,0.0585835033757518,0.08243103098886101,0.0690449035436818,0.0585292437731171,0.16061986411691317,0.12577551666910286,0.1244457040419475,0.7561973440647125,0.008172798899913514,0.7560965567827225,0.08483404397964472,0.40023189821866156,0.0047461092472076,0.0007481580878594724,0.0007481247669005204,0.0005023595194851,0.006731954839735044,0.00435165127014769,0.0064680583749646
learned_mixture,16,1,2048,Full,4,32768,20.0,25,25,0.019156301154422625,0.010844162158044708,0.0187965693258665,0.022228306665750645,0.013090387834237069,0.0212164371195871,0.038295155068633416,0.019970553688527244,0.0381505120607176,2.274476976171136,0.003926466783656262,2.273575523868203,0.08949879154562947,0.4227689587179408,0.0048001324757933,0.0007481580878594724,0.0007481247669005204,0.0005023595194851,0.006731954839735044,0.00435165127014769,0.0064680583749646
learned_mixture,16,1,2048,Tail-WOR,4,32768,20.0,25,25,0.020821072599216874,0.013623468014113543,0.0190764048268029,0.024143671838434574,0.015572081977452612,0.0202394668939929,0.041185080913550325,0.023338420459737306,0.0406116241297083,3.86028727337718,0.009484833233582875,3.8584825322031975,0.0924922335147857,0.43734625471088306,0.0049945339560508,0.0007481580878594724,0.0007481247669005204,0.0005023595194851,0.006731954839735044,0.00435165127014769,0.0064680583749646
learned_mixture,16,1,2048,Tail-WR,4,32768,20.0,25,25,0.025564393688418275,0.03064817641127941,0.019287395931066,0.029756550303222346,0.032024505475019074,0.0195443288100733,0.048807657713550584,0.0549458064102694,0.0362714995618927,4.04665956646204,0.014217510870428,4.049322433769703,0.09451071605086322,0.4474326867434833,0.0049784556031227,0.0007481580878594724,0.0007481247669005204,0.0005023595194851,0.006731954839735044,0.00435165127014769,0.0064680583749646
learned_mixture,16,1,2048,U-WOR,4,32768,20.0,25,0,0.020784154575654853,0.012916017581719718,0.0186201896345617,0.024799128860402114,0.014341437456565072,0.0233771148823246,0.04109869127510556,0.022881432381893878,0.0388937314783071,2.7189649856090545,0.013459817866766836,2.7181227318942547,0.08960387364029881,0.4228611506047565,0.0049496069550514,0.0007481580878594724,0.0007481247669005204,0.0005023595194851,0.006731954839735044,0.00435165127014769,0.0064680583749646
learned_mixture,16,1,2048,U-WR,4,32768,20.0,25,0,0.025071386420500347,0.017718039119189722,0.024921586954018,0.02748019842844641,0.017536183762249306,0.0263271438883682,0.04953131544348092,0.034473942325262755,0.0486266996804616,2.7960600312799215,0.014316656794461187,2.7975048273801804,0.08931010216474529,0.42206439436789106,0.0048567559570074,0.0007481580878594724,0.0007481247669005204,0.0005023595194851,0.006731954839735044,0.00435165127014769,0.0064680583749646
