dimension,regime,setting_id,sliced_w1_32,seconds,factor_calls
2,ambiguous,bridge_mixture4_cov4_s0.5,0.007343924713847173,0.03134535253047943,1780968.0
2,ambiguous,smc_k32_s0.35,0.006676529059030524,0.05962805263698101,25362432.0
2,ambiguous,smc_k64_s0.15,0.0075765801188865615,0.12232584413141012,50528256.0
2,ambiguous,full,0.013809558616204256,1.5137342922389507,402653184.0
2,ambiguous,tail_anchored,0.035967327577514745,3.46903567109257,268435456.0
2,regular,bridge_mixture4_cov4_s0.5,0.0028186641544617596,0.053332243114709854,2567400.0
2,regular,smc_k32_s0.35,0.0028796859254625433,0.07358299661427736,25362432.0
2,regular,smc_k64_s0.15,0.002685801909152649,0.13682054355740547,50528256.0
2,regular,full,0.02219424470618413,1.7782425209879875,402653184.0
2,regular,tail_anchored,1.1493379907209575,3.181247248314321,268435456.0
8,ambiguous,bridge_mixture4_cov4_s0.5,0.008772197239156985,0.08285234961658716,4140264.0
8,ambiguous,smc_k32_s0.35,0.009389411498533532,0.059386915527284145,25362432.0
8,ambiguous,smc_k64_s0.15,0.010490864138967259,0.1321339076384902,50528256.0
8,ambiguous,full,0.010329429958531179,2.068520024418831,402653184.0
8,ambiguous,tail_anchored,0.010371025205306217,3.9544178042560816,268435456.0
8,regular,bridge_mixture4_cov4_s0.5,0.02208824782889636,0.07685917988419533,4926696.0
8,regular,smc_k32_s0.35,0.007560054449538963,0.08333646692335606,25362432.0
8,regular,smc_k64_s0.15,0.007450719181967146,0.14441989362239838,50528256.0
8,regular,full,0.026106623686962056,2.2844764413312078,402653184.0
8,regular,tail_anchored,0.07984726904786726,4.1698396652936935,268435456.0
