batch,cell_id,dataset_seed,eta_total,factor_calls,family,full_particles,ks_mean,line,log_normalizer,mean_absolute_error,method,minimum_ess_fraction,particles,phase,poisson_events,positive_mass_error,preparation_calls,projection_seed,randomized_particles,repeat,resampling_count,seconds,seconds_including_preparation,seed,setting_id,sign_joint_tv,sliced_reference_samples,sliced_w1_32,standardized_offdiagonal_second_rms,status,steps,table_nodes,training_seed,true_ks_mean,true_mean_absolute_error,true_positive_mass_error,true_variance_relative_error,true_w1_mean,variance_relative_error,w1_mean
4,0,400,4.0,4294967296,learned,0,0.1526245343065581,explore,196.7985246612076,0.03540931520400266,full,0.343472384429465,32768,confirmation,0,0.01663265546432429,0,20260921,0,0,102,6.224569108337164,6.224569108337164,21014010,full,0.11927217660101658,32768,0.04274078525668995,0.21462912361193268,completed,2048,129,0,0.15166901860699827,0.03574352033367453,0.012476485152935889,0.1823139536375354,0.03844797624651786,0.18898361431088068,0.0385159668072589
4,1,400,4.0,268435456,learned,0,0.6604266958432303,explore,2355.089330600844,0.20257676869722727,tail_fixed,3.919715357632713e-05,32768,confirmation,0,0.03269270140171264,0,20260921,0,0,555,4.405199270695448,4.405199270695448,21014010,tail_fixed,0.24340416740358833,32768,0.22178157905790327,3.7761177412198337,completed,2048,129,0,0.6646842295276139,0.20646808492605095,0.02853653109032424,0.5166534004135601,0.206655024013412,0.521214739554108,0.20273718154059905
4,2,400,4.0,16908288,learned,0,0.0705436466122294,explore,198.09103720354645,0.015688256199423316,surrogate_only,0.34846490071897435,32768,confirmation,0,0.005487216947102954,16908288,20260921,0,0,101,3.2739297673106194,3.2739297673106194,21014010,surrogate_only,0.04147706199220169,32768,0.02067463195130844,0.034288037372940526,completed,2048,129,0,0.09973660436607179,0.024700009383226706,0.003450598038602675,0.16134501260305242,0.025563544785827515,0.16924122338280373,0.01764910264586185
4,3,400,4.0,4311875584,learned,67108864,0.1383492917347098,explore,202.51136170140921,0.034741486423095685,surrogate_full,0.29215842538242776,32768,confirmation,0,0.01089177767822025,16908288,20260921,0,0,104,15.112781349569559,15.112781349569559,21014010,surrogate_full,0.07257869593000436,32768,0.03550529761342987,0.12421223789269882,completed,2048,129,0,0.15514455907771169,0.03943081713103149,0.006930178524166603,0.1741300928212937,0.039766913916923746,0.18190393851922965,0.03565442876744104
4,4,400,4.0,64987513,learned,299529,0.09557494944359618,explore,196.31752828577012,0.021498088173287813,certified,0.35854749355007304,32768,confirmation,28909369,0.00771310709161274,16908288,20260921,66809335,0,101,6.5964012779295444,6.5964012779295444,21014010,certified,0.05159432327922983,32768,0.025143070171144116,0.08800011068687985,completed,2048,129,0,0.11161737950538661,0.026245316728376347,0.005754372360053632,0.17043717625393948,0.028001430814743496,0.17830973966605324,0.023743538953221004
4,5,401,4.0,4294967296,learned,0,0.05135370051737673,explore,95.03499833242844,0.009598213989075424,full,0.3643389326220513,32768,confirmation,0,0.0027595683227475483,0,20260921,0,0,95,6.120789527893066,6.120789527893066,21014020,full,0.02191226961335236,32768,0.011636735301480792,0.03515517963055494,completed,2048,129,0,0.04317744297171028,0.0070371867935029656,0.0019813588339383727,0.16701450022460892,0.011397837368434392,0.1688068333381958,0.01262340746654226
4,6,401,4.0,268435456,learned,0,0.31209263554921024,explore,422.4109971063359,0.08775566466576838,tail_fixed,0.000744612993553253,32768,confirmation,0,0.004255777578211061,0,20260921,0,0,349,4.418782353401184,4.418782353401184,21014020,tail_fixed,0.03388194365706637,32768,0.11372538849744261,0.9672861541531932,completed,2048,129,0,0.310089685984101,0.08719079154137524,0.0034775680894018855,0.30732029044040066,0.09024487516469189,0.3085849416897694,0.09032890978665019
4,7,401,4.0,16908288,learned,0,0.07526268346291556,explore,89.93205386081485,0.01788942404088802,surrogate_only,0.36112250341845065,32768,confirmation,0,0.003161452878620296,16908288,20260921,0,0,92,3.4001002684235573,3.4001002684235573,21014020,surrogate_only,0.025127346060342455,32768,0.01989916827820741,0.12964904132801092,completed,2048,129,0,0.07573827956107516,0.01855144277700045,0.00238324338981112,0.18247625215758156,0.020120994144888965,0.1842142095752301,0.019463518905551667
4,8,401,4.0,4311875584,learned,67108864,0.06856683345461405,explore,87.88971428069979,0.01549352832671038,surrogate_full,0.37536148747242915,32768,confirmation,0,0.00197135842328036,16908288,20260921,0,0,91,15.116654958575964,15.116654958575964,21014020,surrogate_full,0.01560659041762192,32768,0.015959582231582333,0.044294421973927,completed,2048,129,0,0.0713741349110798,0.01621878517263615,0.0011931489344711845,0.16600836804637778,0.017755990820290744,0.16764508670910475,0.01670711792702392
4,9,401,4.0,45067202,learned,3993,0.05000524097282251,explore,88.93680038207297,0.009899861210008347,certified,0.3767117340263262,32768,confirmation,27903362,0.0020993514255441565,16908288,20260921,67104871,0,91,6.322553683072329,6.322553683072329,21014020,certified,0.016630534435729684,32768,0.012752423465508608,0.021901092142891106,completed,2048,129,0,0.047957096875780196,0.009195574061711561,0.0013211419367349809,0.1536946440581887,0.012040612959189397,0.1553773305614925,0.01228727557954865
4,10,402,4.0,4294967296,learned,0,0.060008723306536574,explore,121.69647026396622,0.012380499155646103,full,0.32139572687710716,32768,confirmation,0,2.521888264744865e-07,0,20260921,0,0,96,6.246356062591076,6.246356062591076,21014030,full,2.0175097551503387e-06,32768,0.014737554012230935,0.022530797072070737,completed,2048,129,0,0.05684061540958153,0.010994231592179257,1.7539605569327765e-07,0.1816711303609434,0.013586935281715054,0.18252425079038334,0.014188816099328132
4,11,402,4.0,268435456,learned,0,0.45002544548183665,explore,1228.6715482218965,0.12104414533374092,tail_fixed,3.1994606270372534e-05,32768,confirmation,0,2.521888262524419e-07,0,20260921,0,0,469,4.315170433372259,4.315170433372259,21014030,tail_fixed,2.0175097548172718e-06,32768,0.13278150477565576,1.6193080543977738,completed,2048,129,0,0.4468457850627484,0.11952308155517215,1.7539605547123305e-07,0.4156344218833471,0.12034515846983296,0.41619418607875686,0.1219397530693108
4,12,402,4.0,16908288,learned,0,0.07987761492522558,explore,127.36997176692365,0.018310794618120345,surrogate_only,0.3352735940557809,32768,confirmation,0,2.5218882641897533e-07,16908288,20260921,0,0,100,3.073530599474907,3.073530599474907,21014030,surrogate_only,2.0175097562605617e-06,32768,0.016930178997498047,0.05011339042929213,completed,2048,129,0,0.07102483743712008,0.01547088426315385,1.753960556377665e-07,0.16876349519555847,0.017129880056611042,0.16963793516299414,0.018997015577763926
4,13,402,4.0,4311875584,learned,67108864,0.050815840962869695,explore,119.90521615460814,0.00879644890951984,surrogate_full,0.3641301775732529,32768,confirmation,0,2.5218882630795303e-07,16908288,20260921,0,0,94,15.07398458942771,15.07398458942771,21014030,surrogate_full,2.017509759702253e-06,32768,0.012424245378147354,0.024503074035215802,completed,2048,129,0,0.05230105313640203,0.009487417145904412,1.753960555267442e-07,0.18981754610166351,0.012924060488267816,0.19076771604529963,0.012681276175419726
4,14,402,4.0,47282080,learned,6536,0.06570422621864355,explore,122.7683045955213,0.014742169009880408,certified,0.33287140417943906,32768,confirmation,29955488,2.521888262524419e-07,16908288,20260921,67102328,0,95,6.629558023065329,6.629558023065329,21014030,certified,2.0175097573707847e-06,32768,0.015692533868563743,0.05277591150354248,completed,2048,129,0,0.058509500046945224,0.012318883023245755,1.7539605547123305e-07,0.15589522663096755,0.013987307244447562,0.1567993655948457,0.015956704472290015
4,15,403,4.0,4294967296,learned,0,0.06316670408378057,explore,92.2658131579775,0.01386404050407844,full,0.3377476580017243,32768,confirmation,0,0.002369907180620301,0,20260921,0,0,94,6.114628080278635,6.114628080278635,21014040,full,0.01894484195453753,32768,0.015645687764682212,0.04943297746679867,completed,2048,129,0,0.06970260955907734,0.016016971153567715,0.0032421637827880906,0.15132289494742107,0.018068178156820783,0.15035852719143006,0.01592269626804659
4,16,403,4.0,268435456,learned,0,0.34861027009869217,explore,453.9016521211971,0.09181667877962493,tail_fixed,0.0001091890233840327,32768,confirmation,0,0.0025870264254540948,0,20260921,0,0,371,4.308991298079491,4.308991298079491,21014040,tail_fixed,0.020681795913204112,32768,0.10719771496664209,1.0768043762751816,completed,2048,129,0,0.3573522220777862,0.09416711508112809,0.0034592830276218844,0.33602274061864823,0.09692581472580239,0.33552771658569014,0.0964489252501884
4,17,403,4.0,16908288,learned,0,0.06561126359644455,explore,87.34693581150752,0.014498500709633943,surrogate_only,0.36800024097471457,32768,confirmation,0,0.0019380949446011486,16908288,20260921,0,0,92,3.287779066711664,3.287779066711664,21014040,surrogate_only,0.015490344066385523,32768,0.0174084538508081,0.04683767052899449,completed,2048,129,0,0.06808516741836552,0.014914212865489072,0.0028103515467689383,0.15618388738477107,0.0168313364827684,0.1556080592134325,0.015592565925665741
4,18,403,4.0,4311875584,learned,67108864,0.08200513683375907,explore,97.5494528801039,0.02062142131809391,surrogate_full,0.33521156266702923,32768,confirmation,0,0.002176470704552097,16908288,20260921,0,0,99,15.07303312420845,15.07303312420845,21014040,surrogate_full,0.01690671640908791,32768,0.019285580554597573,0.09605151016266719,completed,2048,129,0,0.08077052397909168,0.020166672510446196,0.0013015681265424045,0.12556237012004492,0.021190582519158462,0.12475280078785038,0.02131074770486397
4,19,403,4.0,45287164,learned,4180,0.08258134465455122,explore,92.98438281424487,0.01953615488050947,certified,0.3374765136009439,32768,confirmation,28111356,0.00040742344686199583,16908288,20260921,67104684,0,94,6.331332188099623,6.331332188099623,21014040,certified,0.0032449720844706788,32768,0.018442541090100274,0.060435892721242224,completed,2048,129,0,0.08380890818265074,0.01982160549745848,0.0012796800490297855,0.16820318574155046,0.021412237859535548,0.1672382656512097,0.020873280781044015
4,20,404,4.0,4294967296,learned,0,0.058292192596529166,explore,111.4325215245096,0.012722847853238394,full,0.3455535228311752,32768,confirmation,0,0.012103358046199521,0,20260921,0,0,96,6.113134805113077,6.113134805113077,21014050,full,0.07867261513296529,32768,0.018051502310487924,0.0641543029131544,completed,2048,129,0,0.06037547737048797,0.013206002735017649,0.010307106530335005,0.16409798095702355,0.016224121571023035,0.1641869948153593,0.015070802010438228
4,21,404,4.0,268435456,learned,0,0.2658547935111173,explore,744.3713588451296,0.07429344000689506,tail_fixed,6.0063178306098785e-05,32768,confirmation,0,0.01658314567808493,0,20260921,0,0,459,4.309184346348047,4.309184346348047,21014050,tail_fixed,0.09433532811069988,32768,0.08483866122695351,0.6144762050238377,completed,2048,129,0,0.2659519531786191,0.074970143884078,0.02126231593666425,0.27604084947449586,0.07697359040159217,0.2779310765326021,0.0758671782334655
4,22,404,4.0,16908288,learned,0,0.0960457748953773,explore,113.9884716895539,0.022888101503640273,surrogate_only,0.36614669991202214,32768,confirmation,0,0.021930904737035697,16908288,20260921,0,0,99,3.286861814558506,3.286861814558506,21014050,surrogate_only,0.10393182071635497,32768,0.02573417244773154,0.085727788128916,completed,2048,129,0,0.1075322408279196,0.02618362903549433,0.023970829856208492,0.15342863901300574,0.026852961647996863,0.15469340016409036,0.023875469044512838
4,23,404,4.0,4311875584,learned,67108864,0.158192453335175,explore,118.06531070760617,0.037478710513688965,surrogate_full,0.3193460184009399,32768,confirmation,0,0.050944255020947585,16908288,20260921,0,0,102,15.07260386645794,15.07260386645794,21014050,surrogate_full,0.20426856969763968,32768,0.04243585207954517,0.14665358220164357,completed,2048,129,0,0.17024754517021248,0.04077423804554302,0.053955620894077766,0.22900208530136812,0.042285715316543494,0.23001647084276944,0.03840789845065422
4,24,404,4.0,45521977,learned,9667,0.07599532413463969,explore,117.2945338114753,0.016402921097085826,certified,0.298374832162241,32768,confirmation,27995001,0.02079321049951703,16908288,20260921,67099197,0,101,6.63770866766572,6.63770866766572,21014050,certified,0.10121522710620535,32768,0.01848675846735373,0.045095098523665986,completed,2048,129,0,0.07695884799543687,0.01709508169839176,0.022833135618689826,0.1744074878098879,0.017992545883556324,0.17535409365930554,0.018073803704794677
4,25,405,4.0,4294967296,learned,0,0.07049293631669924,explore,198.40315454008822,0.01608430704773945,full,0.34175213132477855,32768,confirmation,0,0.00028282490025249694,0,20260921,0,0,99,6.207023497670889,6.207023497670889,21014060,full,0.0022625992020148737,32768,0.013010105175529465,0.03420862583988842,completed,2048,129,0,0.08373578492845615,0.01989975451393848,0.0002124153593608109,0.1519134285955251,0.020667797936086446,0.15898310465830284,0.017458018036441626
4,26,405,4.0,268435456,learned,0,0.3904160390479335,explore,2304.19194077559,0.11448167688907698,tail_fixed,4.396690209229663e-05,32768,confirmation,0,0.00037837317419181504,0,20260921,0,0,557,4.328171670436859,4.328171670436859,21014060,tail_fixed,0.0030269853935315774,32768,0.12724170898693393,1.5264587282122766,completed,2048,129,0,0.38266797210987635,0.11242546136739551,0.000307963633300129,0.4206242946007844,0.11660334532441106,0.42511630521446986,0.1191076715398261
4,27,405,4.0,16908288,learned,0,0.10794120932568738,explore,197.41655463511006,0.026173397432589285,surrogate_only,0.34042709924987263,32768,confirmation,0,0.0003665786034411236,16908288,20260921,0,0,99,3.269527032971382,3.269527032971382,21014060,surrogate_only,0.0029326288275259315,32768,0.028384640622602174,0.1363982465341599,completed,2048,129,0,0.11266919324492111,0.027764016029825124,0.00029616906254943757,0.14700596427260712,0.029121859238643844,0.14650220146948645,0.028403459099729814
4,28,405,4.0,4311875584,learned,67108864,0.07557424771751431,explore,195.47161953405043,0.017883035235027614,surrogate_full,0.29538574245126803,32768,confirmation,0,0.000228992478169829,16908288,20260921,0,0,98,15.080001465976238,15.080001465976238,21014060,surrogate_full,0.0018319398253549331,32768,0.017329978049765875,0.04782231369066919,completed,2048,129,0,0.09709563650469283,0.02423877021053366,0.0001585829372781152,0.15229601905565615,0.02438522449636195,0.15914313506855027,0.01915194137766145
4,29,405,4.0,73724109,learned,402005,0.057564727397529054,explore,200.88414413253537,0.011105840622587099,certified,0.38251017635058937,32768,confirmation,31087501,0.00022787368536933541,16908288,20260921,66706859,0,99,6.712771464139223,6.712771464139223,21014060,certified,0.0018229894829542331,32768,0.012457226097596807,0.0325518256259095,completed,2048,129,0,0.07843257193805031,0.017357638249496897,0.00015746414447764936,0.1451284658473148,0.019673961613858898,0.1525410725164748,0.014133875559765299
4,30,406,4.0,4294967296,learned,0,0.09392266613015493,explore,179.36270026923145,0.022991058697778212,full,0.369555599784605,32768,confirmation,0,0.00357593219430637,0,20260921,0,0,99,6.21681285649538,6.21681285649538,21014070,full,0.0278294513157612,32768,0.02905976775314001,0.08075888502947036,completed,2048,129,0,0.08856869512861013,0.02102146261282499,0.003463111068748057,0.15996200757867957,0.022625100332960675,0.15892285918854762,0.024289458656117983
4,31,406,4.0,268435456,learned,0,0.49103890274577056,explore,1435.0792888015562,0.15039225634579528,tail_fixed,5.647969677974519e-05,32768,confirmation,0,0.022993619241116814,0,20260921,0,0,509,4.318652085959911,4.318652085959911,21014070,tail_fixed,0.17646101036986883,32768,0.19532994341310947,2.450660910824606,completed,2048,129,0,0.4903422231919159,0.14842266026084205,0.023173409915145285,0.5328388552862748,0.15249148105177407,0.5324535977810436,0.15352727608423816
4,32,406,4.0,16908288,learned,0,0.06997655336706,explore,180.18948250207524,0.01684198131510251,surrogate_only,0.3778988234295765,32768,confirmation,0,0.003617657978233716,16908288,20260921,0,0,100,3.458758808672428,3.458758808672428,21014070,surrogate_only,0.028773189502068256,32768,0.021721094416508067,0.06409420367164474,completed,2048,129,0,0.06213826495487083,0.014509924083086403,0.0035048368526754033,0.14830889320336008,0.015621011524773493,0.14748700999641876,0.0184510774332103
4,33,406,4.0,4311875584,learned,67108864,0.06797648870562156,explore,183.9393139280951,0.01597269604988555,surrogate_full,0.3431835047148584,32768,confirmation,0,0.0010870736828712778,16908288,20260921,0,0,101,15.14450004696846,15.14450004696846,21014070,surrogate_full,0.006134762419720857,32768,0.019155957121901122,0.03661639060715256,completed,2048,129,0,0.06368501684404321,0.014376983920007018,0.0012668643568997488,0.1555157401259395,0.016891905187930698,0.1548169337339686,0.018264986719027026
4,34,406,4.0,166988286,learned,1881401,0.08909271483844497,explore,181.08751046494817,0.02072491999309582,certified,0.37768487962537656,32768,confirmation,29670334,0.009877229002984298,16908288,20260921,65227463,0,102,7.4549035131931305,7.4549035131931305,21014070,certified,0.07824077426236335,32768,0.02189425442179821,0.0804744339515356,completed,2048,129,0,0.08581660949701661,0.019213071348865535,0.009764407877425985,0.18146339558914554,0.022068437136394996,0.18067210159496444,0.02300637784681308
4,35,407,4.0,4294967296,learned,0,0.08035120914992133,explore,168.4721186900275,0.018793175055884195,full,0.3655107972488255,32768,confirmation,0,0.006213541499121122,0,20260921,0,0,100,6.20403990149498,6.20403990149498,21014080,full,0.04884949782067728,32768,0.022327970108425806,0.1043592597098814,completed,2048,129,0,0.08607927107975044,0.01983189240622691,0.007482830746964833,0.14564471009446006,0.021043036605659447,0.14604123013979958,0.019360260977511725
4,36,407,4.0,268435456,learned,0,0.41638438590554494,explore,1449.763634152149,0.10533659434310488,tail_fixed,3.2236779850966635e-05,32768,confirmation,0,0.016591327668814902,0,20260921,0,0,502,4.315184138715267,4.315184138715267,21014080,tail_fixed,0.1319418123008143,32768,0.09379286478179745,1.1729504527641574,completed,2048,129,0,0.4234986455181292,0.10749436693484814,0.01553970528217808,0.3802901135921164,0.10916845250505124,0.3784909898848844,0.10749526712031035
4,37,407,4.0,16908288,learned,0,0.06743165657269662,explore,174.04832553777607,0.01407535849527391,surrogate_only,0.3753445314801194,32768,confirmation,0,0.0017885236688201939,16908288,20260921,0,0,101,3.3929545544087887,3.3929545544087887,21014080,surrogate_only,0.013886072460160418,32768,0.01874884323326933,0.05722193038930769,completed,2048,129,0,0.07652140535024654,0.0165376658727229,0.000736901282183372,0.16530275264063565,0.018602215147245575,0.16323650887291663,0.016740186104990486
