batch,cell_id,commit,device,diffusion,dimension,ess_threshold,family,final_ess_fraction,groups,initialization,ks_mean,mean_absolute_error,method,minimum_ess_fraction,particles,peak_gpu_bytes,positive_mass_error,relative_path,resampling_count,score_evaluations,seconds,seed,status,steps,u_max,variance_relative_error,w1_mean
4,15,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.9999999999999984,16,standard normal at finite u_max,0.11477818892873473,0.039769758022288104,unweighted,0.9999999999999987,8192,10948608,0.003201899918386153,task_015/cell_0015,0,16777216,0.16420839354395866,2,completed,128,20.0,0.4022493122507873,0.05315974652448433
4,16,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.9539173102921625,16,standard normal at finite u_max,0.145136767391976,0.08229127325311114,naive,0.04498860056855315,8192,5179904,0.003201899918385487,task_016/cell_0016,18,4194304,0.2001292183995247,2,completed,128,20.0,0.06334054043875958,0.0823170385637261
4,17,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.6056986562399658,16,standard normal at finite u_max,0.09235805069400366,0.05036597550901534,unbiased,0.06433158805557677,8192,5179904,0.0025158119754266073,task_017/cell_0017,16,4194304,0.20693866908550262,2,completed,128,20.0,0.07093108681620253,0.05045225650808039
4,18,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.7326077425525008,16,standard normal at finite u_max,0.06404965402799212,0.03464089383716462,cumulant,0.30772215604715564,8192,5310976,0.0008128297618935632,task_018/cell_0018,9,8388608,0.34066908061504364,2,completed,128,20.0,0.11708684337163866,0.03494742094605485
4,19,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.9593849061033272,16,standard normal at finite u_max,0.07912679278248985,0.04474249875462788,cv,0.33359595232196,8192,5179904,0.002973080985702481,task_019/cell_0019,9,4194304,0.28507374227046967,2,completed,128,20.0,0.12128592173426689,0.044754933280898315
4,20,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.8570633981496011,16,standard normal at finite u_max,0.044645064996754025,0.01896363014155611,cv_cumulant,0.27383140348011137,8192,5310976,0.000584470344902055,task_020/cell_0020,9,8388608,0.45687055960297585,2,completed,128,20.0,0.02411811456921953,0.020442395594830964
4,21,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.7362808883396669,16,standard normal at finite u_max,0.0851493278333374,0.0452641650331167,full,0.3348391801075986,8192,10948608,0.002970669728996733,task_021/cell_0021,9,16777216,0.16523859649896622,3,completed,128,20.0,0.12741378701956518,0.04607104225561631
4,22,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.9999999999999984,16,standard normal at finite u_max,0.11231968298018377,0.03828336153841749,unweighted,0.9999999999999987,8192,10948608,0.003201899918386153,task_022/cell_0022,0,16777216,0.1536278948187828,3,completed,128,20.0,0.39552760481640326,0.05216185238763518
4,23,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.5876964397566985,16,standard normal at finite u_max,0.20175619073755985,0.11378357449191323,naive,0.037939157220713664,8192,5179904,0.0020277068065973625,task_023/cell_0023,16,4194304,0.28022996336221695,3,completed,128,20.0,0.0410240487921153,0.11379581067978056
4,24,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.9907761030947303,16,standard normal at finite u_max,0.0887261619344325,0.0526038013957395,unbiased,0.10041805467089761,8192,5179904,0.002077139534829242,task_024/cell_0024,20,4194304,0.20899175107479095,3,completed,128,20.0,0.026860282549728387,0.052735567085493415
4,25,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.49682833104361185,16,standard normal at finite u_max,0.06315777045205268,0.028323145813594408,cumulant,0.36372084308971225,8192,5310976,0.0009983148897074745,task_025/cell_0025,9,8388608,0.3237752951681614,3,completed,128,20.0,0.1290762923304355,0.02902878547013028
4,26,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.5096342127534548,16,standard normal at finite u_max,0.06977078128699227,0.0377580363219987,cv,0.3099937773767089,8192,5179904,0.002904757521937751,task_026/cell_0026,8,4194304,0.29896920919418335,3,completed,128,20.0,0.10543605414713786,0.038088311341830904
4,27,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.5147324456880467,16,standard normal at finite u_max,0.055430396238891344,0.027023106929838447,cv_cumulant,0.35543584530622147,8192,5310976,0.002805311063262983,task_027/cell_0027,8,8388608,0.4754932001233101,3,completed,128,20.0,0.12024049325924413,0.027816175542615316
4,28,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.781693717120491,16,standard normal at finite u_max,0.024675521084512986,0.012225994995967993,full,0.24200843861592336,8192,10948608,0.0005286497113828892,task_000/cell_0028,9,16777216,0.16587035357952118,4,completed,128,20.0,0.06037872931375643,0.013347388863813182
4,29,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.9999999999999984,16,standard normal at finite u_max,0.11139923202955568,0.038520624024422245,unweighted,0.9999999999999987,8192,10948608,0.003079829605886153,task_001/cell_0029,0,16777216,0.1587524563074112,4,completed,128,20.0,0.39125256552210097,0.05181228310674765
4,30,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.5488675971037723,16,standard normal at finite u_max,0.16015478393356009,0.08687502276905845,naive,0.055180753348862015,8192,5179904,0.0025629693322780644,task_002/cell_0030,19,4194304,0.20623092725872993,4,completed,128,20.0,0.04695502872243651,0.08689407865305507
4,31,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.9912416854763677,16,standard normal at finite u_max,0.06447827145634993,0.037122733804061614,unbiased,0.14261269754226066,8192,5179904,0.0024941781596884427,task_003/cell_0031,19,4194304,0.20474116504192352,4,completed,128,20.0,0.029764452560826493,0.037265368975357746
