batch,cell_id,dataset_seed,eta_total,factor_calls,family,full_particles,ks_mean,line,log_normalizer,mean_absolute_error,method,minimum_ess_fraction,particles,phase,poisson_events,positive_mass_error,preparation_calls,projection_seed,randomized_particles,repeat,resampling_count,seconds,seconds_including_preparation,seed,setting_id,sign_joint_tv,sliced_reference_samples,sliced_w1_32,standardized_offdiagonal_second_rms,status,steps,table_nodes,training_seed,true_ks_mean,true_mean_absolute_error,true_positive_mass_error,true_variance_relative_error,true_w1_mean,variance_relative_error,w1_mean
4,0,200,1.0,268435456,learned,0,0.05642223668060933,explore,85.56106230614466,0.009947190209998777,full,0.07557437221360681,8192,development,0,0.0014765489108505086,0,20260921,0,0,78,0.7098675444722176,0.7098675444722176,21012010,explore_00,0.011811943900658645,32768,0.012243140339477356,0.04056705552543647,completed,512,129,0,0.05902394668606069,0.011096397234861718,0.0012527500834668636,0.18864422616517618,0.013527818542738539,0.18864422398080677,0.013050519152877381
4,1,200,1.0,16777216,learned,0,0.47021424912845466,explore,1344.818659787705,0.12327863183310347,tail_fixed,0.00012249917867596444,8192,development,0,0.00233112234752042,0,20260921,0,0,156,0.6332922577857971,0.6332922577857971,21012010,explore_01,0.018648531394019577,32768,0.1344257207001744,1.9969739744621766,completed,512,129,0,0.47942434753341434,0.12526373353091694,0.002107323520136775,0.5766055967952206,0.1321791761908289,0.5768719542664562,0.1304373311459072
4,2,200,1.0,2129920,learned,0,0.06582881894641449,explore,80.59000112596536,0.013933828953895902,surrogate_only,0.08892667142193007,8192,development,0,0.0015941626783783772,2129920,20260921,0,0,77,0.8199780397117138,0.8199780397117138,21012010,explore_02,0.012752854040881407,32768,0.015232762467872835,0.05534613668163423,completed,512,65,0,0.06586384704340302,0.013735451725452773,0.0013703638509947322,0.17347797189516445,0.016252873098251505,0.17343701536310865,0.016549705579131553
4,3,200,1.0,270565376,learned,4194304,0.05591871749958871,explore,89.78902803151755,0.00996633963824737,surrogate_full,0.00961485968092103,8192,development,0,0.0015932371692274757,2129920,20260921,0,0,82,1.6462416723370552,1.6462416723370552,21012010,explore_03,0.012745449967674308,32768,0.014878898766678798,0.05063034686503494,completed,512,65,0,0.06670709132098988,0.012796272452623773,0.0013694383418438308,0.1764649546834791,0.015938668139848452,0.1764022499758837,0.013592530380622475
4,4,200,1.0,44483328,learned,635853,0.07186712645678842,explore,83.70216746240241,0.013191542971951794,certified,0.11951002471811988,8192,development,1658816,0.0011194463916450147,2129920,20260921,3558451,0,77,1.5046409144997597,1.5046409144997597,21012010,explore_04,0.008955123747016073,32768,0.018263906808655465,0.02825609914528124,completed,512,65,0,0.06403060401123849,0.010584753706854293,0.0008956475642613697,0.21792333668082986,0.015284468316823408,0.21785277246603482,0.016310154634003076
4,5,200,4.0,34593714,learned,479103,0.0632787974298862,explore,85.99695869619518,0.011052599156526299,certified,0.08849866130498954,8192,development,1801202,0.0017707833164741457,2129920,20260921,3715201,0,78,1.4938558898866177,1.4938558898866177,21012010,explore_05,0.014165819145650458,32768,0.0140713732283444,0.0325747837034751,completed,512,65,0,0.05482597143427555,0.008354278893827928,0.0015469844890905007,0.20652411940524215,0.01281502101618922,0.20645991309761247,0.014053743946679327
4,6,200,1.0,4227072,learned,0,0.0689691113835039,explore,91.99353740093571,0.01292830049680465,surrogate_only,0.06248677618988778,8192,development,0,0.00113486253573282,4227072,20260921,0,0,83,0.8253169022500515,0.8253169022500515,21012010,explore_06,0.009078452899716002,32768,0.016080657182090667,0.04571277181471741,completed,512,129,0,0.06053835426010763,0.010652610125953848,0.000911063708349175,0.18942869086303815,0.014979246354402717,0.189571337826969,0.016992301102797463
4,7,200,1.0,272662528,learned,4194304,0.0830484133098976,explore,86.54031219924401,0.01898586912418017,surrogate_full,0.07237632693816366,8192,development,0,0.0013919298926659395,4227072,20260921,0,0,78,1.6499812975525856,1.6499812975525856,21012010,explore_07,0.011134991755184407,32768,0.020192257355811746,0.13936615174028155,completed,512,129,0,0.08863831155827909,0.020987331431614683,0.0011681310652822945,0.14323566020541798,0.02199374521476924,0.14567102843000182,0.020895558227019696
4,8,200,1.0,23255502,learned,258376,0.18819165745381478,explore,88.16168367410313,0.04570195727999659,certified,0.0902677604109585,8192,development,2492366,0.002080379654116218,4227072,20260921,3935928,0,80,1.4583760052919388,1.4583760052919388,21012010,explore_08,0.016642589846784885,32768,0.03598738497053981,0.25114933404175144,completed,512,129,0,0.18925324565164134,0.04643312815764242,0.001856580826732573,0.2204075917400116,0.04707806169088172,0.22021498116411392,0.04694477125681247
4,9,200,4.0,6830850,learned,2487,0.0502770510581088,explore,84.62111612346267,0.007716799414726368,certified,0.07641394896322896,8192,development,2444610,0.001686686424504918,4227072,20260921,4191817,0,79,1.4255175329744816,1.4255175329744816,21012010,explore_09,0.013493044009892922,32768,0.01229183931198732,0.028697904413239033,completed,512,129,0,0.058007322822113544,0.010114301154286038,0.001462887597121273,0.20322908451359378,0.01287018972990308,0.20315119126891046,0.01222862139171508
4,10,201,1.0,268435456,learned,0,0.1650789629360287,explore,157.13573425443215,0.038711593988869517,full,0.08849797661513147,8192,development,0,0.012418908486172333,0,20260921,0,0,83,0.7082508392632008,0.7082508392632008,21012020,explore_00,0.08812916167789328,32768,0.036871924680131306,0.22201563476460193,completed,512,129,0,0.1512219675592341,0.0343641213263783,0.014038412684842698,0.1944720344229286,0.037007231017549436,0.19710727949525764,0.04009016594139528
4,11,201,1.0,16777216,learned,0,0.6478134742734096,explore,3389.7331980865742,0.1661368880878027,tail_fixed,0.00012207031716077182,8192,development,0,0.03643304842851644,0,20260921,0,0,191,0.6344999670982361,0.6344999670982361,21012020,explore_01,0.27841276744533094,32768,0.16525114918798334,3.081943787058815,completed,512,129,0,0.653454579823461,0.1672933326203641,0.038052552627186806,0.7673471242911282,0.17463897807713324,0.7678932236931704,0.17316736789730502
4,12,201,1.0,2129920,learned,0,0.08887177737754298,explore,159.13830037839176,0.020828182831088636,surrogate_only,0.11543550680101533,8192,development,0,0.009612444114239647,2129920,20260921,0,0,82,0.8377072624862194,0.8377072624862194,21012020,explore_02,0.07327766414399124,32768,0.022807313970165114,0.05045665951654211,completed,512,65,0,0.0901004711899955,0.020934071028226295,0.007318984043607691,0.17996662916422768,0.022870808398237782,0.182911353477327,0.02216727886287386
4,13,201,1.0,270565376,learned,4194304,0.05710636862151876,explore,155.11620627568377,0.012145683404372101,surrogate_full,0.09715710456334622,8192,development,0,0.004629178427161873,2129920,20260921,0,0,82,1.6309321448206902,1.6309321448206902,21012020,explore_03,0.03375194608769343,32768,0.014952939282028753,0.06731121336979805,completed,512,65,0,0.07392492843351356,0.016720865771655963,0.0023357183565299168,0.1489480620023897,0.018621062640090523,0.1522849513055344,0.014345902364148459
4,14,201,1.0,44870483,learned,642030,0.05301396407414677,explore,154.55303508902654,0.008992780878639845,certified,0.1400520652554082,8192,development,1650643,0.0070871427773306715,2129920,20260921,3552274,0,81,1.5165029279887676,1.5165029279887676,21012020,explore_04,0.053661421687093404,32768,0.012622819575932004,0.04680567514354413,completed,512,65,0,0.06598131141689736,0.013783012953014574,0.004793682706698716,0.18700584485338884,0.016894435441148777,0.1850574050809261,0.01292573893946948
4,15,201,4.0,35090418,learned,486990,0.06798050230830308,explore,157.48206347412676,0.01456474047611129,certified,0.07054228937193198,8192,development,1793138,0.009227998008229607,2129920,20260921,3707314,0,82,1.4879735298454762,1.4879735298454762,21012020,explore_05,0.07592373884704953,32768,0.017255896583445087,0.037059763058667615,completed,512,65,0,0.06984310196142651,0.014779798985290239,0.007608323958028957,0.17631742659669492,0.017500961751719904,0.17927506244320934,0.016306329840722156
4,16,201,1.0,4227072,learned,0,0.07203629053864209,explore,156.31133647616772,0.015208709755433569,surrogate_only,0.06943349814052831,8192,development,0,0.0066127949775868335,4227072,20260921,0,0,82,0.758142963051796,0.758142963051796,21012020,explore_06,0.048736031938210425,32768,0.01831438664227132,0.05539523684537526,completed,512,129,0,0.0734237175796271,0.015479120690737758,0.004319334906954878,0.16425259186027957,0.018082411626313112,0.16736195317128533,0.017262897263865457
