batch,cell_id,dataset_seed,diffusion,dimension,ess_threshold,family,groups,ks_mean,line,log_normalizer,mean_absolute_error,method,particles,phase,positive_mass_error,projection_seed,repeat,resampling_count,seconds,seconds_including_preparation,seed,setting_id,sign_joint_tv,sliced_reference_samples,sliced_w1_32,standardized_offdiagonal_second_rms,status,steps,training_seed,true_ks_mean,true_mean_absolute_error,true_positive_mass_error,true_variance_relative_error,true_w1_mean,u_max,variance_relative_error,w1_mean
4,0,-1,1.0,8,0.5,gaussian,64,0.0616083210628527,factorization,185.96611914479143,0.011637082364237064,full,8192,development,1.3000722054457015e-08,20260921,60,82,0.6825363822281361,0.6825363822281361,21000060,full,1.0400577784415147e-07,32768,0.015144055108574927,0.0241833446126895,completed,512,-1,,,,,,20.0,0.2197077845037969,0.01564749258438033
4,1,-1,1.0,8,0.5,gaussian,64,0.06097684967813921,factorization,205.40803866792186,0.014305314110778636,factorized_full,8192,development,1.3000722498546224e-08,20260921,60,350,0.7284578233957291,0.7284578233957291,21000060,factorized_full,1.0400577517961621e-07,32768,0.013774432870759539,0.020722455516632605,completed,512,-1,,,,,,20.0,0.16115164574643429,0.016515045102252043
4,2,-1,1.0,8,0.5,gaussian,64,0.0615445342258986,factorization,182.17438282188115,0.012589739615929657,full,8192,development,1.3000721610367805e-08,20260921,61,81,0.6792877279222012,0.6792877279222012,21000061,full,1.0400577551268312e-07,32768,0.016002972796014703,0.04372929207452045,completed,512,-1,,,,,,20.0,0.19545324081179125,0.015462552819907625
4,3,-1,1.0,8,0.5,gaussian,64,0.07361478229463926,factorization,199.96337137305426,0.01723737373253746,factorized_full,8192,development,1.3000722498546224e-08,20260921,61,336,0.7303804270923138,0.7303804270923138,21000061,factorized_full,1.0400577517961621e-07,32768,0.017985663491566755,0.029430737779271902,completed,512,-1,,,,,,20.0,0.17404495580867552,0.01970014128769628
4,4,-1,1.0,8,0.5,gaussian,64,0.060870501236819086,factorization,184.93015740518325,0.012469439996760368,full,8192,development,1.3000722942635434e-08,20260921,62,82,0.678083848208189,0.678083848208189,21000062,full,1.0400577506859391e-07,32768,0.01806201863885791,0.08180265386761189,completed,512,-1,,,,,,20.0,0.15308039518517907,0.01549514294636918
4,5,-1,1.0,8,0.5,gaussian,64,0.09483357786083227,factorization,202.87342267339625,0.02477997918769513,factorized_full,8192,development,1.3000722498546224e-08,20260921,62,347,0.7280698716640472,0.7280698716640472,21000062,factorized_full,1.0400577517961621e-07,32768,0.032245040416867946,0.057504538228080715,completed,512,-1,,,,,,20.0,0.14243915341328012,0.026106973511478546
4,6,-1,1.0,8,0.5,gaussian,64,0.1689522870340454,factorization,189.12472604173422,0.04296431940342019,full,8192,development,1.300072227650162e-08,20260921,63,86,0.6792377009987831,0.6792377009987831,21000063,full,1.0400577562370542e-07,32768,0.054300030526766185,0.32617100321019515,completed,512,-1,,,,,,20.0,0.3591758678153085,0.047982253085747925
4,7,-1,1.0,8,0.5,gaussian,64,0.052270395880740894,factorization,198.3682234179184,0.011348808404816613,factorized_full,8192,development,1.3000722498546224e-08,20260921,63,335,0.7310014255344868,0.7310014255344868,21000063,factorized_full,1.0400577517961621e-07,32768,0.014195012478510034,0.018251121555955208,completed,512,-1,,,,,,20.0,0.12710526353803073,0.013608911537182003
4,8,-1,1.0,8,0.5,gaussian,64,0.04918954824001074,factorization,181.12211866024023,0.008281170554038722,full,8192,development,1.3000721610367805e-08,20260921,64,82,0.6775311529636383,0.6775311529636383,21000064,full,1.0400577390285973e-07,32768,0.014138497170103117,0.04273623386111422,completed,512,-1,,,,,,20.0,0.1944997233023936,0.012911822013266112
4,9,-1,1.0,8,0.5,gaussian,64,0.05351468277139325,factorization,200.190902905232,0.012444433548768882,factorized_full,8192,development,1.3000722498546224e-08,20260921,64,343,0.7279703170061111,0.7279703170061111,21000064,factorized_full,1.0400577517961621e-07,32768,0.013159904189856762,0.018759509056430188,completed,512,-1,,,,,,20.0,0.10504085692565404,0.01452526416933061
4,10,-1,1.0,8,0.5,mixture,64,0.35951625898236694,factorization,49.4143574644096,0.870188140931622,full,8192,development,0.34746355572410226,20260921,60,36,0.676271591335535,0.676271591335535,21000060,full,0.9512756348032076,32768,0.9976036941552329,0.8841407665658383,completed,512,-1,,,,,,20.0,0.5775348784266034,0.8703474638443099
4,11,-1,1.0,8,0.5,mixture,64,0.0979464716210387,factorization,52.23745684969919,0.19224236372449557,factorized_full,8192,development,0.07633249813274588,20260921,60,131,0.7183539643883705,0.7183539643883705,21000060,factorized_full,0.23932691232619857,32768,0.2177578583437974,0.0405463690012688,completed,512,-1,,,,,,20.0,0.16086422914701526,0.19654200022880872
