batch,cell_id,dataset_seed,diffusion,dimension,ess_fraction,family,groups,ks_mean,line,log_normalizer,mean_absolute_error,method,particles,phase,positive_mass_error,projection_seed,repeat,seconds,seconds_including_preparation,seed,setting_id,sign_joint_tv,sliced_reference_samples,sliced_w1_32,standardized_offdiagonal_second_rms,status,steps,training_seed,true_ks_mean,true_mean_absolute_error,true_positive_mass_error,true_variance_relative_error,true_w1_mean,u_max,variance_relative_error,w1_mean
8,0,900,1.0,8,0.5,learned,64,0.0656121155892452,matched_anchor,89.26312557596373,0.014041213091002515,full,8192,confirmation,0.005093166377130942,20260921,0,1.4039318785071373,1.4039318785071373,21019010,full,0.03863846771443431,32768,0.013813117752855996,0.03498910010925211,completed,1024,0,0.06343940071453763,0.013087527043855598,0.0021833271031698265,0.1837369736132215,0.015930162120223947,20.0,0.18380094796547536,0.016231502578545193
8,1,900,1.0,8,0.5,learned,64,0.050512293125224095,matched_anchor,102.89555903345568,0.009842221757714894,factorized_full,8192,confirmation,0.0037447552242789173,20260921,0,1.5036715380847454,1.5036715380847454,21019010,factorized_full,0.027226733643482798,32768,0.011259648043953407,0.010679805365106113,completed,1024,0,0.046949665706099396,0.008690130277528723,0.006789421971869228,0.15838468585155446,0.011681399553718632,20.0,0.1587824332622071,0.012382481157078618
8,2,900,1.0,8,0.5,learned,64,0.05863538139157494,matched_anchor,92.45654007473966,0.01195820061062898,tail_anchored,8192,confirmation,0.002059367380799704,20260921,0,1.224971130490303,1.224971130490303,21019010,anchor_n8192_k1024_m8,0.014255978802530071,32768,0.014954184055521859,0.06311860628429308,completed,1024,0,0.05323753873720269,0.009827874553771463,0.0023494051019226224,0.15213099798650864,0.0126694876016286,20.0,0.15254955065738462,0.013912311275369594
8,3,901,1.0,8,0.5,learned,64,0.10503853525491696,matched_anchor,84.22894464221662,0.023389617107504986,full,8192,confirmation,0.02685450959319562,20260921,0,1.4032141529023647,1.4032141529023647,21019020,full,0.1212748818352547,32768,0.025362020199128102,0.08319176569387875,completed,1024,0,0.09645939241029351,0.02068297760641306,0.02202369681656616,0.1947644523080897,0.02331496487396629,20.0,0.19553158829556508,0.02600537352279972
8,4,901,1.0,8,0.5,learned,64,0.04874892507754931,matched_anchor,96.65812339946031,0.009332557673885935,factorized_full,8192,confirmation,0.008187973155105194,20260921,0,1.50369381159544,1.50369381159544,21019020,factorized_full,0.045245727278051255,32768,0.011749229648404025,0.01584222093991167,completed,1024,0,0.048885845524220456,0.00906428231621113,0.0073933910742111225,0.13744098472107036,0.012284102117880513,20.0,0.13827332302340942,0.011817900954147474
8,5,901,1.0,8,0.5,learned,64,0.05253691001774651,matched_anchor,86.5518377225271,0.007960222257868393,tail_anchored,8192,confirmation,0.011167082271266391,20260921,0,1.204020418226719,1.204020418226719,21019020,anchor_n8192_k1024_m8,0.08059342569239589,32768,0.011472480493284691,0.04182335317134478,completed,1024,0,0.06527583106618212,0.012028099712340003,0.01339121947848197,0.19781998081746544,0.014998678708713485,20.0,0.1985887345122091,0.012614657483223875
8,6,902,1.0,8,0.5,learned,64,0.16422758043248237,matched_anchor,144.83877359364132,0.037319310691639476,full,8192,confirmation,4.486215815451e-05,20260921,0,1.529631346464157,1.529631346464157,21019030,full,0.0003588972652114261,32768,0.04281691438349632,0.18597043875661742,completed,1024,0,0.16853708107033225,0.039116139382211604,3.558170584797016e-05,0.2419865047439099,0.04092309280385707,20.0,0.24455741912851414,0.03976766447511535
8,7,902,1.0,8,0.5,learned,64,0.08476824523937923,matched_anchor,157.203446448904,0.020915419509332248,factorized_full,8192,confirmation,4.486215815428796e-05,20260921,0,1.4415024556219578,1.4415024556219578,21019030,factorized_full,0.000358897265210871,32768,0.026395565908526236,0.050011617532982895,completed,1024,0,0.09344649904802887,0.023412687180724465,3.558170584774811e-05,0.12126061916347307,0.02481556970146055,20.0,0.12398403437204314,0.02244631720592102
8,8,902,1.0,8,0.5,learned,64,0.06391451424983884,matched_anchor,144.36233688183083,0.010542916844734636,tail_anchored,8192,confirmation,4.486215815451e-05,20260921,0,1.2255174666643143,1.2255174666643143,21019030,anchor_n8192_k1024_m8,0.0003588972652093722,32768,0.01742754574284379,0.038264794224272855,completed,1024,0,0.09107131913166189,0.019753133801523597,3.558170584797016e-05,0.20769032518938974,0.02198841330841797,20.0,0.2103881198647673,0.016199315401743464
8,9,903,1.0,8,0.5,learned,64,0.06961599245988784,matched_anchor,167.9044398815366,0.013645026783232393,full,8192,confirmation,0.015296497831180679,20260921,0,1.3648809641599655,1.3648809641599655,21019040,full,0.08618386758377786,32768,0.017989168071924563,0.05504049626437334,completed,1024,0,0.0709233063634675,0.014012230337180728,0.013469197887935554,0.17386807203695542,0.01714961725473296,20.0,0.1752957881149994,0.016908510041020917
8,10,903,1.0,8,0.5,learned,64,0.07081467496877408,matched_anchor,182.36236689110328,0.015610613019251198,factorized_full,8192,confirmation,0.016230693016925743,20260921,0,1.498100209981203,1.498100209981203,21019040,factorized_full,0.08870949344497836,32768,0.017220674908762758,0.02980783024130475,completed,1024,0,0.07540779961607477,0.016647592841332277,0.014403393073680618,0.16047269990630203,0.018750997023743055,20.0,0.16216939034510086,0.018424280543555244
8,11,903,1.0,8,0.5,learned,64,0.14174398034328264,matched_anchor,162.73898577512102,0.03378167442265085,tail_anchored,8192,confirmation,0.023411325849575212,20260921,0,1.201700795441866,1.201700795441866,21019040,anchor_n8192_k1024_m8,0.13738873240133082,32768,0.030740072172087154,0.13397148010940507,completed,1024,0,0.14294366964618327,0.033935170934983536,0.025543963334750217,0.21858956787880182,0.035489242015773165,20.0,0.22008538425439367,0.03513136127478626
8,12,904,1.0,8,0.5,learned,64,0.0652327770765367,matched_anchor,118.85769707027941,0.013535875605832887,full,8192,confirmation,0.0062275006807723104,20260921,0,1.4050212278962135,1.4050212278962135,21019050,full,0.03846797847725235,32768,0.015031432785037518,0.050796981915421646,completed,1024,0,0.08215661464555923,0.018727169159393077,0.009441030769982067,0.17369752816710116,0.02025376911906401,20.0,0.17559463185878016,0.015733537082454768
8,13,904,1.0,8,0.5,learned,64,0.0578098998512591,matched_anchor,126.82270622280218,0.011395698664139614,factorized_full,8192,confirmation,0.012238440088903707,20260921,0,1.4963242560625076,1.4963242560625076,21019050,factorized_full,0.06535217141193546,32768,0.015055453312965924,0.017194608941999687,completed,1024,0,0.07293991017605796,0.015760219241278704,0.016152966789666975,0.17170603410035415,0.018251901209601757,20.0,0.1737460905748211,0.014073280611239474
