step,u,ess,resampled,max_abs_state,max_abs_log_increment
1,19.980473518371582,8191.999999999982,False,3.650186210876522,3.003627105816302e-08
65,18.750615119934082,8191.9999999999545,False,4.158194102984919,9.118358402680175e-08
129,17.559819221496586,8191.999999999538,False,3.9373765463802757,2.9878379152875885e-07
193,16.408085823059086,8191.999999995416,False,4.060500031559592,9.8625594106384e-07
257,15.295414924621584,8191.999999958789,False,3.7368454303625467,2.7465617855908244e-06
321,14.221806526184082,8191.999999661359,False,3.9129812235281847,7.692535612451894e-06
385,13.187260627746584,8191.999997337345,False,3.441871406432881,2.1427210119174467e-05
449,12.191777229309082,8191.9999812976785,False,3.609699844619492,5.610480029589255e-05
513,11.235356330871584,8191.999874841442,False,4.204825231950833,0.00013353934376341903
577,10.317997932434082,8191.999210224098,False,4.1836902055430585,0.0003437369818188485
641,9.439702033996584,8191.9953541419045,False,3.9955060432571696,0.0007873048659888226
705,8.600468635559084,8191.970874454672,False,3.9061907243980913,0.001607734266456361
769,7.800297737121583,8191.814691955695,False,4.075046750366421,0.003533577687601286
833,7.039189338684082,8190.708344298099,False,4.116952733165596,0.006961889222566162
897,6.317143440246583,8183.493871239157,False,4.386414422051013,0.014208011127697078
961,5.634160041809082,8137.932752239139,False,5.19910697979112,0.027404755253623715
1025,4.990239143371583,7895.0787700533365,False,4.852555392492367,0.04864574286207061
1089,4.385380744934082,6865.395511789769,False,5.320873855445717,0.07465984821639511
1153,3.8195848464965825,4098.022427742728,False,5.001957947198596,0.0995680403464889
1154,3.811054229736329,4048.82206322293,True,4.777946913170843,0.11041912649630642
1217,3.292851448059082,4811.566264712717,False,4.759016489363802,0.13740216018062967
1223,3.245472908020019,4095.2329019588888,True,4.4097956035797665,0.1520900292665505
1268,2.901077270507813,4078.3288617402127,True,4.125349256128906,0.1644435056325098
1281,2.8051805496215825,7667.310891621153,False,4.125543651564036,0.25476966906284326
1304,2.63946533203125,3919.100890529204,True,3.9069975457097277,0.19248891814515942
1331,2.451367378234864,4041.820084665802,True,3.6201153306021965,0.23517278438430733
1345,2.3565721511840816,6420.694954139073,False,3.567161612184009,0.29937090198620103
1353,2.3032426834106445,3782.6317957712645,True,3.396807819676267,0.380908159382262
1378,2.1405220031738286,4014.3636923608296,True,3.28553505987124,0.38721706842539255
1407,1.959233283996582,3959.4054479630713,True,3.1510200290641395,0.3129115477979278
1409,1.9470262527465825,8148.211665630616,False,3.1471885984697567,0.3158312941029501
1433,1.8035173416137698,4055.4829447608367,True,2.8315579917231517,0.33335458222563824
1460,1.648635864257812,3938.5037583092203,True,2.5617982619791175,0.39958296069582566
1473,1.5765428543090818,6648.9646755821195,False,2.397930029851498,0.4479802609716113
1483,1.5221834182739262,4059.9205890607277,True,2.3729711168355645,0.4626421528561739
1507,1.3956117630004887,3791.0303127699676,True,2.4020490872405356,0.5133251794592857
1529,1.2844133377075195,3877.621505211879,True,2.3022747621789397,0.4641508862251767
1537,1.2451219558715823,7349.784710067657,False,2.221940022109034,0.546023640798107
1549,1.1873292922973635,3922.6745555773878,True,2.120333261945755,0.850233324587052
1568,1.0986328125000004,4050.6550797031564,True,1.94840051983599,0.7665006794487168
1588,1.0089874267578123,3498.4703623910546,True,1.8271835644675358,0.7248545353153247
1601,0.9527635574340818,5922.9125679446815,False,1.8110761476232842,0.8301460224372108
1606,0.9315681457519537,4059.4959058876248,True,1.946802836671625,0.8627053247602826
1623,0.8612871170043949,3956.6503365276217,True,1.7741912220518554,0.5917707739759173
1637,0.8054780960083006,3563.0725077341353,True,1.721105208572086,0.6622972992062345
1652,0.7477569580078126,3949.0021288428457,True,1.5815403672477295,0.9709589182103756
1665,0.6994676589965823,4197.613136347394,False,1.5961034352613594,0.7309842885097166
1666,0.6958198547363285,3911.6590578704504,True,1.5870682650649661,0.9938692657503455
1675,0.6634187698364257,3374.7393080174547,True,1.6621466206630149,0.8781249542660168
1684,0.6317901611328127,3358.7529468333028,True,1.5759946148007833,1.259456394080481
1693,0.6009340286254882,4003.764442313658,True,1.4981855329802443,0.9761000694160457
1704,0.5642700195312498,3802.201266694149,True,1.4914228311870752,1.0404437988027435
1715,0.5287599563598636,3613.288726842282,True,1.4552942986392705,0.9398173755444978
1724,0.5005645751953125,3966.6816085544287,True,1.4794649155197184,1.3297617278932414
1729,0.48523426055908186,5861.492659540719,False,1.4414943285439592,1.1684340186244078
1732,0.47615051269531267,3785.8834252065935,True,1.4224025056498764,1.2474207150770058
1739,0.455288887023926,4017.978837267974,True,1.3526986156460117,1.272884514290091
1749,0.4262971878051758,3856.038920923834,True,1.3650693246879533,1.081188931947749
1758,0.4010200500488284,3891.8278129513556,True,1.3056181229040291,1.2751717428764826
1768,0.37384033203125006,3454.5937103905258,True,1.334142636339208,1.5537267957149858
1777,0.3501939773559568,4003.1858116786534,True,1.2939364443019932,1.4100227768949172
1786,0.3273200988769532,3761.8987390441735,True,1.3294169615761882,2.5647867642311653
1792,0.31250000000000006,4090.5305915983763,True,1.3509346648976117,1.524801003345036
1793,0.31006336212158214,7859.804696082256,False,1.2989226150758442,1.8250979678923427
1799,0.29564380645751964,2945.4364174306475,True,1.303047406058491,1.4855949139107298
1806,0.2792549133300783,3765.250454989038,True,1.2836021438097482,1.0887662584822084
1814,0.26109695434570296,3759.7864933029705,True,1.2525936587098858,1.132330748772496
1824,0.23925781250000014,3686.6617586250077,True,1.2147994361707966,1.3276735778169861
1834,0.2183723449707035,3837.788457937862,True,1.2201216721119528,1.239203993314488
1843,0.20039081573486306,3511.6558631909134,True,1.2218589358187883,1.4772337669992162
1851,0.18505573272705106,4050.5844560299192,True,1.2079972637077245,1.3037227185283895
1857,0.17395496368408192,5148.898597946593,False,1.195648860926143,1.3327568961694003
1860,0.16853332519531222,3475.4970465340816,True,1.1511821540395952,1.3818018149202616
1867,0.15621662139892556,3648.445620176122,True,1.150013205806291,1.9127794060449024
1877,0.13943195343017611,3530.552429404571,True,1.2524144421493002,1.1598323761099507
1882,0.13139724731445337,3882.1040787032384,True,1.2426366600592358,1.7361300335868912
1887,0.12360095977783223,2504.284363523698,True,1.2681136773979929,1.0617457220077609
1893,0.11456012725830066,3973.3315494210015,True,1.2975177601065524,1.842428658069989
1899,0.10586261749267595,3900.8638799395158,True,1.1806510608439222,1.8157986040361362
1907,0.09479999542236325,3966.9352991279843,True,1.1723593926284073,1.2400608202989245
1916,0.0830841064453126,4006.419285866301,True,1.1622212981843947,1.142245613062907
1921,0.07690906524658207,4658.056066212272,False,1.1444395904852915,1.4046883231493297
1923,0.0745058059692384,3606.026126171434,True,1.1204041629304236,1.3629694212952042
1933,0.06306171417236332,3695.36439966719,True,1.0577840809119736,1.4868771069215623
1947,0.04864215850830087,3916.240937417447,True,1.0826452035560072,0.8518113068030748
1964,0.03364562988281254,3933.673731315141,True,1.0891215454525032,0.7820374669872898
1981,0.021405220031738285,3819.735226077397,True,1.055215677913739,0.859270736119345
1985,0.018925666809082115,7835.51418248743,False,1.0707579689325784,0.8457244263104542
2005,0.008816719055175778,4073.483627310376,True,0.9945957555110926,0.43790060059782115
2048,0.0,6491.6860146942045,False,1.002854742707793,0.005346070991007001
