step,u,ess,resampled,max_abs_state,max_abs_log_increment
1,19.980473518371582,32767.99999999997,False,4.858443901361176,3.937961046071409e-09
65,18.750615119934082,32768.00000000004,False,4.778020553761128,1.3059120847314471e-08
129,17.559819221496586,32768.000000000065,False,4.817215115855938,4.161574229154825e-08
193,16.408085823059086,32768.00000000005,False,4.500953591483278,1.2742560775460084e-07
257,15.295414924621584,32767.999999999978,False,4.294900432195285,3.748679875155382e-07
321,14.221806526184082,32768.00000000002,False,4.6426641146784196,1.0600216703517555e-06
385,13.187260627746584,32767.999999999156,False,4.577776602227331,2.881419105433748e-06
449,12.191777229309082,32767.999999982436,False,4.8166650847359245,7.533118874042756e-06
513,11.235356330871584,32767.99999969096,False,4.45149725990821,1.8922990785849637e-05
577,10.317997932434082,32767.999995117512,False,4.9255517540231075,4.58505012523306e-05
641,9.439702033996584,32767.999932031467,False,4.449557141192644,0.0001069827630786126
705,8.600468635559084,32767.99915816838,False,4.855863263043094,0.0002422827427766606
769,7.800297737121583,32767.990684163473,False,4.720479238761664,0.0005287012124387597
833,7.039189338684082,32767.909632904073,False,5.05966422999655,0.001111299127620899
897,6.317143440246583,32767.215580694185,False,4.789034439376235,0.00224356738472763
961,5.634160041809082,32762.035153805162,False,5.320126669145322,0.004318679847786893
1025,4.990239143371583,32728.901606594904,False,4.806582395151042,0.00824302930687619
1089,4.385380744934082,32546.568242644626,False,5.084489256276845,0.014578603843981762
1153,3.8195848464965825,31687.083867401358,False,5.492390051411836,0.024999427639743253
1217,3.292851448059082,28490.788842348127,False,6.111517642633271,0.03908815904682864
1281,2.8051805496215825,19777.020324114605,False,6.1950169542478335,0.052493178052085435
1298,2.682209014892578,16332.613306647598,True,5.9420701178881385,0.05506458245656945
1345,2.3565721511840816,26770.646901099586,False,6.437993512275725,0.07242543108660596
1378,2.1405220031738286,16093.289335162066,True,5.5759786379396665,0.0856424305416583
1409,1.9470262527465825,27103.51395872248,False,5.557952182749706,0.1042151179017431
1433,1.8035173416137698,16343.995426767504,True,5.342905748250878,0.09710817510800257
1473,1.5765428543090818,18635.190449466176,False,4.9021201185557475,0.10475881406609121
1477,1.5546846389770512,16284.58080127152,True,4.899688149483678,0.11243787930775087
1517,1.3444948196411133,16151.378802892594,True,4.700817533085878,0.140310445181053
1537,1.2451219558715823,26634.617030265108,False,4.539637737134042,0.13048536241429812
1551,1.1778306961059577,16092.605615591547,True,4.5217136582812785,0.1373155304371936
1580,1.0443878173828127,15832.787498161066,True,4.713457190677685,0.16015169608621563
1601,0.9527635574340818,21743.46741464395,False,4.147064019305709,0.14824295281322114
1607,0.9273576736450193,16082.292268856629,True,4.151395496305389,0.15549264120975692
1634,0.8172798156738282,16277.030478201432,True,3.8795445567637645,0.16160102291527031
1660,0.7178497314453128,16189.047781112571,True,3.5879844185726797,0.18421322334606283
1665,0.6994676589965823,31966.91095718786,False,3.5517855843312702,0.20866820638994593
1684,0.6317901611328127,15905.639884988963,True,3.4569520402805876,0.16767163140908922
1708,0.5512237548828127,15861.175901254313,True,3.4393565139782023,0.16928386165792458
1729,0.48523426055908186,19035.140503685456,False,3.4634377645551613,0.1820703083090219
1732,0.47615051269531267,15956.17327204294,True,3.393055713881336,0.17522461203642647
1755,0.4093599319458008,15848.839302906674,True,3.211761494829277,0.17711480912652797
1778,0.347614288330078,15789.59540622178,True,3.040602491703334,0.16760838808253786
1793,0.31006336212158214,24467.000608956812,False,3.1664781923622938,0.22884806319589068
1801,0.2909135818481448,15808.349962869319,True,2.9712551599067623,0.2179684449060763
1819,0.250058174133301,16174.429730614322,True,3.0180177022768238,0.21087614780255898
1837,0.21229267120361345,15157.354599773493,True,2.8461314572459844,0.2510913987152937
1855,0.1776170730590818,15777.015268918509,True,2.8289925992680156,0.20688123285082083
1857,0.17395496368408192,32544.695348002017,False,2.8663703576122894,0.21901204052017179
1875,0.1427125930786135,15556.73055611364,True,2.714970519327826,0.1765528355292616
1898,0.10728836059570296,15894.593292028689,True,2.756270781689056,0.1648039371756701
1921,0.07690906524658207,18367.014921141374,False,2.6384009648356535,0.1462121998048991
1924,0.07331848144531243,15632.785834954528,True,2.688919351797282,0.12734367137779282
1953,0.04303455352783193,16271.236429665401,True,2.5276180863509112,0.11548816219346263
1985,0.018925666809082115,18845.347463670707,False,2.4970054854173735,0.0903796728673784
1990,0.01604080200195318,16043.641429503074,True,2.5342420533435503,0.07463045721183936
2048,0.0,24268.095625453316,False,2.509832245066528,0.0008642366148593504
