step,u,ess,resampled,max_abs_state,max_abs_log_increment
1,19.921951293945316,32767.999999997788,False,4.928892591265907,1.9699618336610373e-06
17,18.693923950195312,32767.99999983242,False,5.0577724843943805,7.215749039170829e-06
33,17.504959106445312,32767.9999981288,False,4.687362177341375,2.052501117309974e-05
49,16.355056762695316,32767.99998161322,False,4.943419702497229,6.977211121951765e-05
65,15.244216918945312,32767.999838527146,False,4.908913714159932,0.00018613478302541414
81,14.172439575195314,32767.998655835665,False,4.538758495855966,0.0005284135384456784
97,13.139724731445312,32767.989614956776,False,4.7493474763899854,0.0015227059567050048
113,12.146072387695314,32767.927376513395,False,5.165281574384897,0.0037157199242718398
129,11.191482543945316,32767.530283726042,False,4.444071492705596,0.009199944420483847
145,10.275955200195314,32765.19127636056,False,4.6218530496959005,0.020863491501252954
161,9.399490356445312,32752.469787997947,False,4.9010929526517,0.04881065156281961
177,8.562088012695314,32689.02338238425,False,4.809678499972118,0.11296023516043557
193,7.763748168945315,32397.147675985627,False,5.123695730605194,0.2414229082029606
209,7.004470825195313,31181.86515906633,False,5.755493413006001,0.4727855595582827
225,6.2842559814453125,26906.511773474584,False,7.112842997602602,0.8962576343917532
241,5.603103637695313,15439.07744025401,True,6.273298986171087,1.6273192653589734
251,5.1972198486328125,14764.334656292238,True,6.909603103710121,2.115802272563807
257,4.9610137939453125,14724.058530415146,True,7.07866250184106,2.482231773461041
261,4.806594848632813,15522.176720390224,True,7.433207701340623,3.2206122061338083
265,4.6546173095703125,12723.306967641083,True,7.416699919900975,3.2362637682301725
268,4.542236328125,14012.232348677182,True,6.808123044680389,3.442780976241447
271,4.4312286376953125,12490.859423920263,True,7.085231025604121,4.002719292223091
273,4.357986450195313,15829.46579881761,True,7.393654597263058,3.3616313169801693
275,4.285354614257813,12861.50731176075,True,7.36872591776289,4.680203855789004
277,4.2133331298828125,12324.813389024104,True,7.516737671079899,3.96465277880725
279,4.141921997070313,11979.17193364672,True,7.475458877424444,4.382716319139842
281,4.071121215820313,9752.481262089557,True,7.254058911923554,4.8601318676789145
283,4.0009307861328125,9286.917847331622,True,7.289099942531325,4.405422017702678
284,3.966064453125001,15793.327266166507,True,7.003244798533598,4.724234928308155
285,3.931350708007813,15522.223869035417,True,7.187822480625882,4.906996266173469
286,3.89678955078125,9988.494238394138,True,7.180888618483576,6.291543991668557
287,3.8623809814453134,13340.614480264896,True,7.293005850280312,5.31179758424211
288,3.8281250000000004,12422.797053240178,True,7.102067065709082,5.5043738491149
289,3.794021606445312,13079.623837597524,True,7.227743954774455,5.219779100236852
290,3.760070800781251,8678.101361218221,True,7.274014937036087,6.388662402421039
291,3.726272583007813,9524.646401839509,True,7.105992940014934,6.3370848512392515
292,3.6926269531249996,8793.345458545744,True,7.393635876553118,6.304492633525608
293,3.6591339111328134,8902.433691981714,True,7.146522633978764,6.293518952033907
294,3.6257934570312504,6772.147591964943,True,7.395608624813775,6.633005613937962
295,3.592605590820312,10867.989597698868,True,7.655027779386625,5.737329105312168
296,3.559570312500001,8471.732180965806,True,7.2491230954991845,5.685532657397678
297,3.5266876220703125,2909.600288331384,True,7.239257995154688,7.411668332893734
298,3.4939575195312496,3902.006685502618,True,7.561939533080218,7.134352315575807
299,3.4613800048828134,6523.901244579795,True,7.859138716835787,6.026884203105255
300,3.428955078125,6128.667099066072,True,8.020685849373455,6.1663407754503385
301,3.396682739257812,7543.437034224988,True,7.270203397390186,5.797079277903818
302,3.3645629882812504,938.1055501262838,True,7.216025354252319,8.159487591140563
303,3.3325958251953125,590.6508971253934,True,7.343022844211946,8.283133707639134
304,3.3007812499999996,2387.3502678330474,True,7.356378399254598,7.118507799178814
305,3.269119262695313,4024.2475216372263,True,7.095398477921327,6.677820775337403
306,3.23760986328125,1871.3333666603899,True,7.090815122812717,7.55316907554568
307,3.2062530517578134,2123.543513280179,True,7.257525678677212,7.209170782463131
308,3.1750488281250004,1856.9331115700334,True,7.15935444714142,7.094684961770046
309,3.1439971923828125,3285.392824824811,True,6.784531187326665,6.440415813580169
310,3.113098144531251,2828.5230559437896,True,6.745216450506712,7.026652977149887
311,3.082351684570313,26.652982923553452,True,6.932585240034917,10.28884128508147
312,3.0517578125,709.3702431616616,True,6.69335013268893,7.934484885811236
313,3.0213165283203134,2480.757481075544,True,6.960921180914766,6.821051585032824
314,2.9910278320312504,351.92745078558505,True,6.789521875145864,8.39192152010866
315,2.9608917236328125,926.673046574038,True,6.7752772970904696,7.537761874107921
316,2.930908203125001,1759.3426736610043,True,6.654782556941607,7.349728046481921
317,2.901077270507813,333.490296073103,True,6.730941585174447,8.658166167090124
318,2.87139892578125,73.56353127404772,True,6.7764260871730775,9.730423225547707
319,2.8418731689453134,333.15228432325506,True,6.661549986445956,8.684758169451198
320,2.8125000000000004,557.4707529572783,True,6.694115256775076,8.321394077874373
321,2.783279418945312,87.05383307192457,True,6.658292022052292,9.611009707666373
322,2.754211425781251,396.7819263720619,True,6.6713141472393325,8.195676821362275
323,2.7252960205078125,222.16602764666692,True,6.764092417143187,8.83035577679777
324,2.6965332031249996,309.6668459600503,True,6.675037821367285,8.730992948618045
325,2.6679229736328134,14.432059744289983,True,6.530333813030031,10.886498702579445
