step,u,ess,resampled,max_abs_state,max_abs_log_increment
1,19.980473518371582,8192.000000000004,False,4.818100833910748,2.579160370302347e-10
65,18.750615119934082,8191.999999999989,False,4.575885893682427,8.552265536853464e-10
129,17.559819221496586,8191.999999999985,False,4.4617188363029365,2.7244833304530942e-09
193,16.408085823059086,8191.999999999985,False,4.257430229667369,8.337894053471677e-09
257,15.295414924621584,8191.999999999996,False,4.346868261819948,2.4510521882117022e-08
321,14.221806526184082,8192.000000000004,False,4.0242561808529,6.921332516517933e-08
385,13.187260627746584,8192.000000000004,False,4.4980743561063505,1.8775135511633957e-07
449,12.191777229309082,8191.999999999998,False,4.567929006391089,4.889906165996461e-07
513,11.235356330871584,8191.999999999996,False,4.456137319429342,1.224770664675139e-06
577,10.317997932434082,8191.999999999864,False,4.488474948085353,2.942736595218357e-06
641,9.439702033996584,8191.999999997937,False,4.176016386055942,6.7910961135145165e-06
705,8.600468635559084,8191.999999974367,False,4.242939083497266,1.5086942805175706e-05
769,7.800297737121583,8191.999999718348,False,4.331828443912248,3.215684864181763e-05
833,7.039189338684082,8191.999997183499,False,4.443967231366061,6.593521733944078e-05
897,6.317143440246583,8191.999975184544,False,4.156987452794422,0.00013025661158437042
961,5.634160041809082,8191.999807531892,False,4.553290840447884,0.000249064799614473
1025,4.990239143371583,8191.998671467304,False,4.552507834993244,0.00046043911643501445
1089,4.385380744934082,8191.991663605095,False,4.6519902944119185,0.0008317863071390258
1153,3.8195848464965825,8191.953152549152,False,3.8469060159264656,0.001442781522825921
1217,3.292851448059082,8191.757247233581,False,4.199418855119738,0.0024856974534595484
1281,2.8051805496215825,8190.788692608082,False,3.9459188010224095,0.0038629531537872786
1345,2.3565721511840816,8184.369028179188,False,4.105759814265947,0.018626409619084256
1409,1.9470262527465825,8096.836945008252,False,3.5290828779353975,0.04268945968965358
1473,1.5765428543090818,7133.209889065355,False,3.3161532515761714,0.14519549804426946
1510,1.380176544189453,4063.1443656876145,True,2.8284913728871928,0.17202976704192333
1537,1.2451219558715823,6943.871914561437,False,2.8771136374288817,0.20428061203552728
1548,1.1920928955078125,3865.1757996682604,True,2.7209832730609507,0.17412985295129932
1584,1.026611328125,3968.098915824611,True,2.6606569558962274,0.2639078342171858
1601,0.9527635574340818,6401.766129290711,False,2.5126540413199216,0.3263893007540145
1613,0.9022951126098631,4091.338619880633,True,2.545402107392766,0.31308880483615426
1637,0.8054780960083006,3829.576117277877,True,2.3848307821577386,0.37473507602411665
1659,0.721554756164551,3811.8865383960037,True,2.448381428679596,0.5612810820488255
1665,0.6994676589965823,6296.480571628353,False,2.441458783549666,0.9890129396574613
1668,0.6885528564453123,3065.644027469369,True,2.4008519557382657,0.706631852758703
1678,0.6527900695800783,3571.037933806956,True,2.2273159988034466,0.5557828485184946
1687,0.6214189529418944,3816.0371052638575,True,2.3298715918568536,0.8486542606533496
1700,0.5774688720703125,3935.1942643545817,True,2.3267642527235646,0.7572737395501402
1711,0.5415391921997069,3532.912675464883,True,2.2150427268916464,0.8194543996178996
1721,0.5098772048950198,3104.76298962112,True,2.2374281783212964,0.8490661401676534
1729,0.48523426055908186,5102.295025178732,False,2.153989589161585,0.9044318260926978
1732,0.47615051269531267,3695.838054732346,True,2.125348877641426,0.9418573574007234
1741,0.4494142532348631,3786.1749449010063,True,2.0910133666957647,0.9458367953463572
1751,0.42061328887939475,3810.458792332039,True,2.169719181716697,0.8927100941668465
1757,0.40379047393798845,2653.8425536656664,True,2.0761435722363295,1.0680578657964332
1764,0.3845977783203128,3831.578350250674,True,2.0922470082243323,0.9742729341017894
1773,0.3606081008911133,3502.882590907034,True,2.050023119732169,1.2497005318089491
1781,0.3399324417114259,3469.376474288582,True,2.022464671792207,1.1005259805066283
1787,0.3248262405395509,4058.4432056150836,True,1.9979322690791625,0.964815625836413
1793,0.31006336212158214,4582.063072499395,False,1.9533871871402724,1.0103857192186856
1794,0.3076362609863283,3969.092885025653,True,1.9561166912154972,1.1410577875161991
1802,0.28856277465820296,3802.1540522718865,True,2.0238012716110245,0.9348264114455224
1810,0.2700996398925781,3437.780517767467,True,1.9543716346690048,1.0771285451134962
1817,0.2544450759887696,3482.644271381163,True,1.8915434296190143,1.0232299137876693
1825,0.23712635040283223,3524.929527519312,True,1.9602994901788748,0.9941802300816308
1831,0.22453784942626973,4055.888800298635,True,1.8843034766721396,1.432525899610823
1838,0.21028518676757796,4038.891715460894,True,1.8735730981986125,1.0847255528367612
1846,0.19456863403320349,3247.869006848091,True,1.8333744494687139,1.3828515659794662
1854,0.1794624328613282,3884.8026081593794,True,1.9048828804841098,1.0855555807063721
1857,0.17395496368408192,6983.9078012843165,False,1.8846723296703014,1.2155265657182324
1861,0.16674518585205092,4029.9413777874743,True,1.822608421961478,1.1624550056086937
1868,0.15449523925781267,3971.541636251745,True,1.8175019366728205,1.2480085875981008
1875,0.1427125930786135,4053.8545255944136,True,1.8223020337579487,1.3059250198665409
1882,0.13139724731445337,3758.644976355919,True,1.7685628940683897,1.4192464656477835
1889,0.12054920196533232,4062.9416055900465,True,1.7709503535078444,1.1536506607835704
1897,0.10872364044189461,3626.9905310267354,True,1.8349381353865946,1.0788837548629244
1905,0.0975084304809569,3486.921658358863,True,1.7669618181632638,1.3376167542493862
1912,0.08819580078124993,3863.3407255019392,True,1.7712983089697865,1.2287289568646216
1919,0.079350471496582,3819.783837384583,True,1.7992002887994996,1.4897140868354537
1921,0.07690906524658207,7433.033350448424,False,1.8321611777701634,1.362804705297447
1926,0.07097244262695312,3762.522471711811,True,1.8112753650396096,1.3415465734685725
1932,0.06416320800781272,3596.8722197221973,True,1.788043768328446,1.4390112869592204
1939,0.0566530227661131,3756.2616415340276,True,1.7531561584636888,1.0891019225020042
1946,0.049610137939452986,3829.2327470341497,True,1.7545734790610361,1.0629983043853906
1954,0.042133331298828236,3993.881605872886,True,1.728291311615411,0.9923647049024948
1963,0.03445148468017563,3899.190981819922,True,1.7553482269191314,1.1340656815813568
1973,0.026822090148925885,3846.9759241560264,True,1.746297998409848,0.9908793748903869
1985,0.018925666809082115,3896.091107448396,True,1.6928103336326863,0.6724535360929984
1997,0.012402534484863345,3887.677264474757,True,1.6601228715265053,0.7493026763312742
2018,0.004291534423828072,3996.6718481994294,True,1.6841015303457556,0.3702776449092019
2048,0.0,6931.501360546824,False,1.6882144123198635,0.007213035699349902
