particles,method,batch,logz_median,logz_mean,logz_std,ess_median,mse_mean,mse_std,nonintegrable_batches,all_strongest_batches,runs
1024,full,2,0.11747069430268195,0.11948462952876131,0.007580887534131531,0.9662876646251597,0.0,0.0,0.0,0.0,20
1024,unbiased,2,0.26957004106597937,0.31199404018609334,0.20401233987253892,0.21045457967944325,0.43192849699064445,0.06512725356183538,1290.0,1290.0,20
1024,unbiased,4,0.163214215283856,0.19106014658627574,0.08704062679307092,0.5846801499865795,0.17285443611013568,0.05151756116830834,394.0,75.0,20
1024,unbiased,8,0.13334808445223784,0.13534811274012168,0.017169321701378793,0.9031920405251933,0.07191902775460869,0.011997378853368006,13.0,0.0,20
1024,unbiased,16,0.12577365154431858,0.12519750015198258,0.009306050942534068,0.936037332583203,0.03404722978964037,0.005486077759335752,0.0,0.0,20
1024,unbiased,32,0.12320434014963585,0.12438217493613543,0.009631247056717269,0.9514135731947959,0.01751151650606468,0.0033891556872346035,0.0,0.0,20
16384,full,2,0.12198242843732121,0.1222820221329131,0.0015282141307288903,0.9607778380766736,0.0,0.0,0.0,0.0,20
16384,unbiased,2,0.37880789041599083,0.6715685192256271,0.8374169121576331,0.018308818410720303,0.47134514910539405,0.024384215868568673,20453.0,20453.0,20
16384,unbiased,4,0.2002961322148495,0.2769539166329149,0.25556182229931906,0.105063939422716,0.1778569656845544,0.008890808872347224,6373.0,1321.0,20
16384,unbiased,8,0.14264514451675045,0.1425239184438966,0.005545218970446785,0.7793816554242172,0.07830704023073164,0.003871622449465984,184.0,4.0,20
16384,unbiased,16,0.13082378641687145,0.1318848465661446,0.0042054971930750645,0.8855348400025627,0.03769908412600877,0.001482617332747781,0.0,0.0,20
16384,unbiased,32,0.12585567008958426,0.1261961053196629,0.0022011399533563973,0.9384982998404396,0.018779456085139125,0.0009389459838627946,0.0,0.0,20
262144,full,2,0.1220358112218438,0.12202597632916479,0.000442199352656219,0.9611522482931689,0.0,0.0,0.0,0.0,20
262144,unbiased,2,0.4730169366150018,0.5906336409004899,0.3012048370308923,0.0012609833268831,0.46730414038584434,0.00580259369444432,327015.0,327015.0,20
262144,unbiased,4,0.20603870339638947,0.21957828283077077,0.03651961658522785,0.0212018735107914,0.1757800301245068,0.0020999870513536503,102294.0,20652.0,20
262144,unbiased,8,0.1444315175518724,0.1452689490643238,0.0036461270502190996,0.49135712181309343,0.07878591521325781,0.0011044800226858898,2955.0,85.0,20
262144,unbiased,16,0.1312531358907325,0.13119280783455503,0.0011949538831942685,0.8586466148202206,0.03793556015104346,0.0005061121021483739,3.0,0.0,20
262144,unbiased,32,0.1259626497106536,0.12596748974620336,0.000692111281796881,0.9329710178975605,0.018578923254817963,0.00020133199240303745,0.0,0.0,20
1048576,full,2,0.12199118021910045,0.12203038261046709,0.00023434772739348568,0.9609041242525892,0.0,0.0,0.0,0.0,20
1048576,unbiased,2,0.48360051021980777,0.5257826903566661,0.13635762609224833,0.00042449252788769997,0.4679773907665302,0.0025210585442327713,1309992.0,1309992.0,20
1048576,unbiased,4,0.21072180353136272,0.21598680490343694,0.01718551671807544,0.00924631695890725,0.17534745271508764,0.0014965998603716877,408886.0,81953.0,20
1048576,unbiased,8,0.14563622658335434,0.1454143818047647,0.00200371680471675,0.3161005732489405,0.07905688772339582,0.0006840684001311081,12024.0,340.0,20
1048576,unbiased,16,0.13103970955838123,0.13109928015874694,0.00045767121668834055,0.8415001095841798,0.037971327581273404,0.00021880584057800328,8.0,0.0,20
1048576,unbiased,32,0.12603554928415134,0.12604650639571885,0.0002586278904422179,0.9327062966536865,0.018568868207398125,8.581401335430817e-05,0.0,0.0,20
