family,groups,dimension,steps,method,integrability_certificate,w1_mean,w1_std,seconds_median,score_evaluations,ess_median,joint_sign_tv_mean,joint_sign_tv_std,correlation_rms_mean,cells
gaussian,64.0,8.0,512.0,cumulant,infinite,0.047783059266060815,0.010900117415801767,1.3655447885394096,33554432.0,0.0001220732648238,1.0400577516851399e-07,1.1607008729791105e-15,0.1380943169032029,5
gaussian,64.0,8.0,512.0,cv,finite,0.01694622116791928,0.0047118837594801915,1.070706486701965,16777216.0,0.0644193612212404,1.040057755015809e-07,8.798123569348143e-16,0.06888730758105623,5
gaussian,64.0,8.0,512.0,cv_cumulant,finite,0.024712386803584983,0.012752200936737837,1.8810807764530184,33554432.0,0.070876203906105,1.0400577661180392e-07,1.9682597828436454e-15,0.07792547640530853,5
gaussian,64.0,8.0,512.0,full,finite,0.01484319517114906,0.0034139415170391443,1.9360631331801417,268435456.0,0.0828721544949666,1.0400577449127794e-07,9.96575911691903e-16,0.059381568744269586,5
gaussian,64.0,8.0,512.0,naive,infinite,0.03842309553389596,0.0055795680425941505,0.8247751444578171,16777216.0,0.0001224017406356,1.0400577610110133e-07,1.0367367055082717e-15,0.16779868280083143,5
gaussian,64.0,8.0,512.0,unbiased,infinite,0.05355242808932599,0.015213028219169734,0.8516993150115013,16777216.0,0.0001231100138602,1.0400577556819428e-07,1.64766223551368e-15,0.18359281547445255,5
gaussian,64.0,8.0,512.0,unweighted,finite,0.02660022157430362,0.00017330967775214698,1.8945652693510056,268435456.0,0.9999999999999988,1.0400577529063853e-07,0.0,0.01058802987664846,5
mixture,64.0,8.0,512.0,cumulant,infinite,1.6082267368377305,0.09916368210919965,1.341138295829296,33554432.0,0.0001220703362948,0.9998234981089047,0.00012853627005923184,0.1540370034852973,5
mixture,64.0,8.0,512.0,cv,infinite,0.742105910727199,0.09719823362200065,1.0773535296320915,16777216.0,0.0060448103905141,0.9366870854784987,0.029495675752084866,0.22617745726901864,5
mixture,64.0,8.0,512.0,cv_cumulant,infinite,0.45556372657438293,0.22780245051361112,1.864762857556343,33554432.0,0.1214333682709076,0.8727309348637595,0.04439234085935078,0.36144373215174663,5
mixture,64.0,8.0,512.0,full,finite,0.8805291300025055,0.37206721190867437,1.920927669852972,268435456.0,0.1882795221645069,0.961175856704372,0.038605208741869554,0.34733546618847805,5
mixture,64.0,8.0,512.0,naive,infinite,1.6619453979019174,0.020830307936197525,0.821668304502964,16777216.0,0.0001220749664533,0.9999248253264061,1.1102230246251565e-15,0.25037478533380864,5
mixture,64.0,8.0,512.0,tail,finite,1.004077599013924,0.3267022458245858,1.0805917233228683,16777216.0,0.0001226838220069,0.9747782000894529,0.019242559888359743,0.20076967041221136,5
mixture,64.0,8.0,512.0,tail_cumulant,finite,1.3577151832877457,0.18798755334991218,1.8756634816527369,33554432.0,0.0001221153599031,0.9983855470148203,0.001816923918942414,0.14527996373995222,5
mixture,64.0,8.0,512.0,unbiased,infinite,1.6494584728051565,0.009672813465677835,0.8282790668308735,16777216.0,0.0001220703318215,0.9999248253264051,1.2337969962857226e-15,0.23968154336126563,5
mixture,64.0,8.0,512.0,unweighted,finite,0.4037345751908523,0.00312427249524059,1.897044375538826,268435456.0,0.9999999999999988,0.3764403599193852,0.0035084004265359884,0.011246435866556301,5
weak_mixture,64.0,8.0,512.0,cumulant,infinite,0.03192336182698728,0.014411817456516396,1.2822758108377457,33554432.0,0.4736919233347976,0.1236434584148024,0.021953679901142432,0.05015909552894328,5
weak_mixture,64.0,8.0,512.0,cv,finite,0.05217809130012073,0.03968591114819297,1.047318734228611,16777216.0,0.4776425195225393,0.15951836565867675,0.07091905814112931,0.05746937343039728,5
weak_mixture,64.0,8.0,512.0,cv_cumulant,finite,0.0221895195350513,0.005219311964067019,1.849827341735363,33554432.0,0.48372746244359,0.11111572589537197,0.014657598575039479,0.05404464080700292,5
weak_mixture,64.0,8.0,512.0,full,finite,0.028029974963089822,0.007265317162219694,1.908919084817171,268435456.0,0.4747554424078486,0.11297895351839575,0.02283264801201287,0.04278159634483926,5
weak_mixture,64.0,8.0,512.0,naive,infinite,0.05328117228802126,0.051481271393280646,0.7535310238599777,16777216.0,0.4652323002178038,0.17031834807956298,0.11322134655510688,0.046505913090215456,5
weak_mixture,64.0,8.0,512.0,tail,finite,0.0428550081484808,0.026314382945206306,1.026551067829132,16777216.0,0.4765502296163821,0.1394561262506796,0.0407904423694606,0.04822372235961396,5
weak_mixture,64.0,8.0,512.0,tail_cumulant,finite,0.02538304408051396,0.004959201433678189,1.8465301916003227,33554432.0,0.482152575035557,0.11300923181506717,0.011978676463473815,0.04458524906093512,5
weak_mixture,64.0,8.0,512.0,unbiased,infinite,0.07038562365183292,0.038291285242098176,0.7635947912931442,16777216.0,0.4672391313477863,0.17991066402010186,0.06704818922628719,0.06887497806805457,5
weak_mixture,64.0,8.0,512.0,unweighted,finite,0.0718885560540888,0.0006726604205135983,1.8958426043391228,268435456.0,0.9999999999999988,0.06820458066305614,0.0022140274250538974,0.0109693100170768,5
