step,u,ess,resampled,max_abs_state,max_abs_log_increment
1,19.980473518371582,8191.999999999978,False,3.9304438270046336,3.224166525141124e-11
65,18.750615119934082,8191.999999999987,False,3.950732049525996,1.0691606134153564e-10
129,17.559819221496586,8191.999999999993,False,4.229275207942521,3.4062224136718625e-10
193,16.408085823059086,8192.000000000002,False,4.099403200442018,1.0425470559714185e-09
257,15.295414924621584,8192.00000000001,False,4.219267143183653,3.0657663329407344e-09
321,14.221806526184082,8191.999999999987,False,3.8866749126665368,8.661838875195133e-09
385,13.187260627746584,8192.0,False,3.904815158484473,2.3514445644678087e-08
449,12.191777229309082,8191.9999999999945,False,3.6020437962885645,6.13046026235439e-08
513,11.235356330871584,8192.000000000005,False,4.188958770260901,1.5378860632737302e-07
577,10.317997932434082,8191.9999999999945,False,4.229334694753465,3.7029943175348417e-07
641,9.439702033996584,8191.999999999745,False,3.908019261841657,8.59187432694842e-07
705,8.600468635559084,8191.999999996793,False,4.0348457091131245,1.9231640429338914e-06
769,7.800297737121583,8191.9999999645515,False,4.163375945892421,4.135495862929648e-06
833,7.039189338684082,8191.999999643071,False,3.9008172247883186,8.662988976935027e-06
897,6.317143440246583,8191.999996833161,False,4.1438369644290605,1.7539898057560692e-05
961,5.634160041809082,8191.9999752791155,False,3.957277746548529,3.4695450354685516e-05
1025,4.990239143371583,8191.999828537111,False,4.329640955010873,6.829830182430081e-05
1089,4.385380744934082,8191.99893813088,False,3.8909391867451237,0.00013505127209437965
1153,3.8195848464965825,8191.993923632839,False,3.8760742135833595,0.000262221779226143
1217,3.292851448059082,8191.9693074620645,False,4.050516100155067,0.0015710976115592245
1281,2.8051805496215825,8191.853514150641,False,3.560819865429506,0.0011811305886576557
1345,2.3565721511840816,8191.237112312321,False,3.394970101888378,0.008020310330591678
1409,1.9470262527465825,8186.42042602892,False,3.1986527280695256,0.0324848459418749
1473,1.5765428543090818,8141.901605000892,False,2.9730438701097586,0.04129239614438948
1537,1.2451219558715823,7940.935313803259,False,2.475716989352263,0.0655626738676279
1601,0.9527635574340818,7049.980738011996,False,2.424820342155775,0.30641539828299885
1624,0.8572387695312504,4051.403264274488,True,2.406576114632279,0.18363067308034464
1665,0.6994676589965823,5590.088556911764,False,2.111087260990995,0.14845021645378964
1686,0.6248664855957029,4076.4048368686445,True,2.1845599451510256,0.2514485974558778
1719,0.5161333084106446,4087.1327864514365,True,1.991935460102283,0.2670828160533896
1729,0.48523426055908186,7738.496665919058,False,2.021408801216762,0.45147565451534594
1756,0.4065704345703126,4029.768486558873,True,1.9199360985226062,0.328106448766571
1786,0.3273200988769532,3972.1138997580674,True,1.8390662392017867,0.5881174730439935
1793,0.31006336212158214,7781.377918781353,False,1.816255608517248,0.35827930026128285
1815,0.2588701248168945,3891.6285859294285,True,1.7879128074436035,0.3849665223755026
1838,0.21028518676757796,3857.238096857179,True,1.7947044001445425,0.3835552825957935
1857,0.17395496368408192,3910.0732734864378,True,1.745828236433456,0.3129406426923681
1874,0.14436721801757796,4036.0732669501954,True,1.7099357736259406,0.3408697771667554
1892,0.11604309082031264,3909.884639404886,True,1.7375977459244136,0.4233885264197698
1911,0.08949756622314468,4041.078055609798,True,1.7207531055334733,0.4302208350842411
1921,0.07690906524658207,6883.883964592151,False,1.722715636354024,0.4804632646672141
1931,0.06527423858642574,3301.4982121080575,True,1.6834230816619786,0.6164899762661812
1947,0.04864215850830087,4025.2403142996804,True,1.6936711873177814,0.5089963896911178
1970,0.029010772705078007,4079.761144761787,True,1.643734000505234,0.3628666956711887
1985,0.018925666809082115,6877.336926837622,False,1.602773378851998,0.36993397812386547
2007,0.008015632629394554,4091.5647103866863,True,1.6178204080088496,0.1722139447416358
2048,0.0,7538.150982315943,False,1.6313987882424033,0.0033735750784740066
