all_strongest_batch_count,bad_event_lower_probability,batch,cell_id,commit,device,diffusion,dimension,ess_fraction,ess_threshold,family,final_ess_fraction,finite_population_normalizer,full_exact_log_normalizer,full_exact_variance,groups,initialization,kind,ks_mean,largest_normalized_weight,log_normalizer,mean_absolute_error,method,minimum_ess_fraction,nonintegrable_batch_count,particles,peak_gpu_bytes,positive_mass_error,potential_mse,relative_path,resampling_count,score_evaluations,score_mse,seconds,seed,status,steps,u_max,variance_relative_error,w1_mean,weighted_mean,weighted_variance
,,4,13,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,1,,0.5,mixture,0.5312241476915147,,,,16,standard normal at finite u_max,tail,0.029823998306481025,,,0.05253279952232878,tail_cumulant,0.4827197659469508,,8192,5310976,0.02196762773995098,,task_001/cell_0013,1,33554432,,1.7897132821381092,1,completed,512,20.0,0.013881116229361612,0.05472157518925849,,
,,4,14,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,1,,0.5,mixture,0.9990869906857838,,,,16,standard normal at finite u_max,tail,0.032318156096276196,,,0.06394497709224344,tail,0.48501280957126164,,8192,5179904,0.03196631978912723,,task_002/cell_0014,2,16777216,,1.0313339680433273,2,completed,512,20.0,0.02576896890304914,0.06824910415464121,,
,,4,15,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,1,,0.5,mixture,0.8284690530572074,,,,16,standard normal at finite u_max,tail,0.1335992735833368,,,0.3004620539368753,tail_cumulant,0.4105018693585238,,8192,5310976,0.10905473057954795,,task_003/cell_0015,4,33554432,,1.8273015543818474,2,completed,512,20.0,0.07800854292493042,0.3004776357595165,,
,,4,16,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,1,,0.5,mixture,0.8103389158359127,,,,16,standard normal at finite u_max,tail,0.028234838773463167,,,0.03460803970670995,tail,0.47114350536229865,,8192,5179904,0.011070635003797236,,task_004/cell_0016,3,16777216,,1.0558563023805618,3,completed,512,20.0,0.027200240317839297,0.039735016900269704,,
,,4,17,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,1,,0.5,mixture,0.5181015338524387,,,,16,standard normal at finite u_max,tail,0.025003064231269967,,,0.04913860092827099,tail_cumulant,0.47292007264706315,,8192,5310976,0.01762175442388636,,task_005/cell_0017,1,33554432,,1.8591818884015083,3,completed,512,20.0,0.023359973953757107,0.04985903427056331,,
,,4,18,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,1,,0.5,mixture,0.9304349241108837,,,,16,standard normal at finite u_max,tail,0.021263256358113103,,,0.01603536915294715,tail,0.4975336153710036,,8192,5179904,0.00719907891193039,,task_006/cell_0018,2,16777216,,1.013694815337658,4,completed,512,20.0,0.02659129079949052,0.025607629693965666,,
,,4,19,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,1,,0.5,mixture,0.5243351343261617,,,,16,standard normal at finite u_max,tail,0.008972412844245325,,,0.009186012596807291,tail_cumulant,0.49947503565168017,,8192,5310976,0.0052191943980406386,,task_007/cell_0019,1,33554432,,1.8064688369631767,4,completed,512,20.0,0.001369371844979539,0.012549831440823535,,
,,4,20,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,1,,0.5,mixture,0.8071585937024455,,,,16,standard normal at finite u_max,tail,0.04675034404003431,,,0.10674574156718317,tail,0.47466729035748756,,8192,5179904,0.03912691838833049,,task_008/cell_0020,2,67108864,,4.262452010065317,0,completed,2048,20.0,0.027221841838227956,0.10683684034476978,,
,,4,21,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,1,,0.5,mixture,0.9739722662835827,,,,16,standard normal at finite u_max,tail,0.022260492982159708,,,0.04713226018415581,tail_cumulant,0.4996239252653889,,8192,5310976,0.019481028807395606,,task_009/cell_0021,2,134217728,,7.226145077496767,0,completed,2048,20.0,0.01525719475676457,0.047935612263343495,,
,,4,22,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,1,,0.5,mixture,0.9760205327434995,,,,16,standard normal at finite u_max,tail,0.010929364279725018,,,0.01883028436248836,tail,0.4985520112110309,,8192,5179904,0.009991587723333584,,task_010/cell_0022,1,67108864,,4.038799531757832,1,completed,2048,20.0,0.014109678207352427,0.02500563452968869,,
,,4,23,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,1,,0.5,mixture,0.5368882132307913,,,,16,standard normal at finite u_max,tail,0.012682223810924431,,,0.007269461035725205,tail_cumulant,0.4970719194935031,,8192,5310976,0.0001145041325955054,,task_011/cell_0023,1,134217728,,7.2883311957120895,1,completed,2048,20.0,0.0013021140088249616,0.010931580579858274,,
,,4,24,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,1,,0.5,mixture,0.9999103061720204,,,,16,standard normal at finite u_max,tail,0.019409158590564607,,,0.007333790271263574,tail,0.49996439256900327,,8192,5179904,0.0009169929378797237,,task_000/cell_0024,1,67108864,,4.020480174571276,2,completed,2048,20.0,0.02362175241001918,0.015867092439784753,,
,,4,25,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,1,,0.5,mixture,0.6163625088360951,,,,16,standard normal at finite u_max,tail,0.02504663512058669,,,0.028109752386506703,tail_cumulant,0.47498240075620035,,8192,5310976,0.00892490201654833,,task_001/cell_0025,1,134217728,,7.119974933564663,2,completed,2048,20.0,0.008436630207923734,0.03100118080937096,,
,,4,26,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,1,,0.5,mixture,0.5765824097168547,,,,16,standard normal at finite u_max,tail,0.03396141546177167,,,0.07491072234184264,tail,0.4937601562759571,,8192,5179904,0.030005587667334355,,task_002/cell_0026,1,67108864,,4.071740604937077,3,completed,2048,20.0,0.019811432558752173,0.07527225801413655,,
