step,u,ess,resampled,max_abs_state,max_abs_log_increment
1,19.980473518371582,32768.00000000004,False,4.713657358020097,9.374748896503791e-08
65,18.750615119934082,32767.999999999323,False,4.602091497446279,3.3191659891140895e-07
129,17.559819221496586,32767.999999993,False,4.426964532566604,8.812337045699276e-07
193,16.408085823059086,32767.999999931286,False,4.349203588768811,2.4407045920928813e-06
257,15.295414924621584,32767.999999375374,False,4.158185908223478,6.883091830789703e-06
321,14.221806526184082,32767.99999486196,False,4.119568231876057,2.058409711630127e-05
385,13.187260627746584,32767.99996061198,False,4.286899019091238,5.785646943816645e-05
449,12.191777229309082,32767.999720944546,False,4.127851818761686,0.00013771790961502714
513,11.235356330871584,32767.99818541701,False,3.8453159560947254,0.0003690745062212573
577,10.317997932434082,32767.98908672926,False,4.234939551182132,0.0009291239107086036
641,9.439702033996584,32767.938436782573,False,4.115862147265272,0.0021300726535064167
705,8.600468635559084,32767.68816434749,False,4.76079578146756,0.004744417805325121
769,7.800297737121583,32766.487667949343,False,4.9148611120879,0.011721948824329115
833,7.039189338684082,32761.331237185957,False,4.1346715756136,0.019940006150007954
897,6.317143440246583,32740.036525022868,False,4.324547400633912,0.04038003168993446
961,5.634160041809082,32656.32124992701,False,4.67160062741921,0.06830420736777727
1025,4.990239143371583,32342.77708412736,False,4.592509935058575,0.12411677862166064
1089,4.385380744934082,31223.037842805385,False,4.039374127441839,0.24117148921107262
1153,3.8195848464965825,27633.22002633867,False,3.938688024959712,0.3061446039036836
1217,3.292851448059082,17362.949112669936,False,3.368280810117934,0.5105803128449944
1221,3.2612276077270517,16008.396363084368,True,3.3239400034004345,0.5660609170401024
1281,2.8051805496215825,18519.736741878594,False,3.079048105613132,1.0789039401594058
1289,2.7469682693481454,16134.462148925186,True,3.0374026478663536,0.9442795640382697
1326,2.4856758117675777,15523.855118724234,True,3.0774085851799766,1.0855711159727868
1345,2.3565721511840816,20447.832361431083,False,2.6267169323292614,1.3971766986644185
1354,2.2966194152832036,16349.365311474769,True,2.567565031059837,1.5256101518960152
1374,2.166156768798829,16133.424504439414,True,2.662772421755641,1.4404290785185634
1389,2.0708131790161133,14576.343509123697,True,2.433286665533378,1.6447675549478842
1402,1.9899177551269533,15756.035256720186,True,2.274934273168677,1.8731940089683707
1409,1.9470262527465825,21610.96351664635,False,2.2608113362023694,2.0454980564731926
1413,1.9227266311645508,15624.367261653993,True,2.1054555278246267,1.9287153897412699
1424,1.8566894531249998,15651.929083899897,True,2.1898916719515107,2.032380650112276
1433,1.8035173416137698,15945.2636163878,True,2.070887565110668,2.8241509057830667
1441,1.7569017410278327,15324.838520619687,True,2.118139268449893,2.719129954814512
1449,1.7108964920043943,16115.069956227147,True,2.0476893206547078,2.3167339610435005
1456,1.671142578125,15885.658677133995,True,1.9627691600265413,2.39228193733648
1462,1.6374397277832031,14388.94477489616,True,1.8437319881723893,2.4767284252933033
1468,1.6040802001953125,14404.87367368178,True,1.8493870238682841,2.7249347844505345
1473,1.5765428543090818,16900.22691223366,False,1.8065330860947726,3.153165810944921
1474,1.5710639953613281,13892.136885440863,True,1.8340703719557272,2.9464513736057554
1479,1.5438127517700193,16009.161947866232,True,1.9590043607918761,2.6778650687784156
1483,1.5221834182739262,15057.209450087814,True,1.8461495733438336,3.3714712470029213
1488,1.4953613281250002,14274.379824322301,True,1.7110319237991023,2.7852972112364
1492,1.4740753173828125,14776.455978143187,True,1.7680657513129756,3.887665956496275
1496,1.4529418945312507,13833.552228768533,True,1.769303430483017,3.389901372033251
1500,1.4319610595703127,12574.4037687088,True,1.7949778282295008,3.017379053033996
1504,1.4111328124999998,3389.4017381875847,True,1.8034384877479332,3.9049627688336868
1507,1.3956117630004887,15356.590745407477,True,1.841168863732429,2.868152858840424
1510,1.380176544189453,12821.576411859729,True,1.7009010459137337,3.625316838892121
1513,1.364827156066895,14879.790289949633,True,1.774132412563931,3.043347206997687
1516,1.3495635986328123,14465.97393761762,True,1.6294142002227558,3.2703115482342495
1518,1.3394355773925783,12179.258014237672,True,1.5726983501370861,3.606994186699349
1520,1.3293457031250004,15602.977815451997,True,1.588722618809801,3.384555576652398
1523,1.3142824172973633,12831.350455461781,True,1.5871428979358388,3.6297129741285903
1526,1.2993049621582036,10602.260945080154,True,1.7056589319283961,5.235946142997734
1528,1.2893676757812498,15434.97531138976,True,1.687387561453488,4.1325471610258315
1530,1.2794685363769533,12205.587813959253,True,1.567852697918115,3.8933790359280454
1532,1.269607543945313,16031.641655547384,True,1.6503314212720537,3.677251555165388
1534,1.259784698486328,15403.360712018928,True,1.627633625063893,3.559730962708554
1535,1.254887580871582,13167.028709728038,True,1.613562104330475,5.2871974762976715
1537,1.2451219558715823,13182.960242155517,True,1.5855001631331749,4.086240105614957
1539,1.235394477844239,9676.897065466954,True,1.5638457915816275,5.186384081753661
1541,1.2257051467895508,10556.439973942563,True,1.4954353474742574,4.647208037701462
1543,1.2160539627075198,11330.175683175397,True,1.5046830138763696,4.226882299462545
