prior,n_context,seed,width,improvement,ci_low,ci_high,variance,stability,distance,calibrated_baseline,calibrated_stability
gp,24,20260910,64,0.002363292960099119,-0.0037962481356486337,0.006162627278571946,0.06884997545079674,0.12593640962051866,0.14026326624126245,0.06835406404116418,0.06819252336282153
gp,24,20260910,128,-0.0027998276047343554,-0.007168971621011877,0.00163455574104961,0.05934590905355421,0.1284557073399438,0.12148446754402269,0.059389691834552324,0.05955597273318737
gp,24,20260911,64,-0.0002067005700645417,-0.0029238212042185627,0.0031903076506951404,0.06844964392118666,0.1298541500158288,0.14812513274313158,0.06871614682914681,0.06873035049586904
gp,24,20260911,128,-0.0006722292916124369,-0.0028321983731478223,0.0013638073445783059,0.057754635727862755,0.13333539902086952,0.12543390770968346,0.05775649190090966,0.05779531750654623
gp,24,20260912,64,-0.0006487664741293961,-0.003439278855895512,0.0018937742429804272,0.07753148297944172,0.14297962874695008,0.15494622449506557,0.07715412961790738,0.07720418463054411
gp,24,20260912,128,-3.233141433486051e-05,-0.0026949458017680793,0.0021628854929309415,0.06843534119037295,0.14666946243300297,0.14022684095424165,0.06841778427634686,0.06841999632007817
gp,8,20260910,64,-0.0010536175445003673,-0.005856961961614481,0.004099292183942219,0.19115003475074188,0.3984350806110966,0.3070526349386298,0.1926267124373065,0.19282966732106988
gp,8,20260910,128,-0.0020140996613812576,-0.0035336900972942078,0.0012991633658448866,0.1768326945842382,0.3940289440305798,0.29401837528967756,0.17879451521328363,0.17915462518583153
gp,8,20260911,64,0.00028328471458778474,-0.0006217007197030273,0.0011618765470877348,0.18152094573969502,0.3666731287393268,0.3033875886329875,0.18248088087546588,0.18242918683120934
gp,8,20260911,128,-0.0019160381357480245,-0.0033459227594453424,0.001149648357978644,0.17394400712695743,0.3695382565839697,0.2965058062503241,0.1747122952472418,0.17504705066771958
gp,8,20260912,64,0.0018924296855714943,-0.001994706014846198,0.004355775490304471,0.2107696197718842,0.4116533969244413,0.31262064647466214,0.2111039617845248,0.21070446238050203
gp,8,20260912,128,-0.007855085452566997,-0.010759567409488038,-0.001712783367815786,0.20159137795463627,0.4114571036162228,0.30314834383459915,0.2027362232057482,0.20432873356336004
jump,24,20260910,64,-0.0027246478448696328,-0.007928444645831001,0.0022863324391421097,0.23414409053295016,0.38540118563062686,0.3821340107344225,0.2334082823666174,0.23404423774014232
jump,24,20260910,128,5.0629729257154344e-05,-0.001537597308778922,0.0037931826936405005,0.2176233211178295,0.3751756381635445,0.35599560244481,0.21766204414647977,0.21765102397611508
jump,24,20260911,64,0.006497038508041326,0.0001239393227339408,0.009828999670447938,0.17161736432704117,0.2646904183617422,0.3134558024061782,0.1721964114832267,0.17107764476687365
jump,24,20260911,128,-0.002835251425872336,-0.0052590449051009205,-0.00019365085007571085,0.1577512529439409,0.25498984741814124,0.28731235589020276,0.158382361234161,0.15883141504968318
jump,24,20260912,64,0.002215935641130347,-1.4356838116478583e-06,0.006799912277417166,0.20376104939331743,0.3158666570021715,0.3684592489204375,0.20463390721728913,0.20418045164890258
jump,24,20260912,128,0.0013505473648788735,-0.00013067758315768845,0.002441058850671798,0.18806006831497374,0.30739525378905175,0.3371121623968542,0.18896651185541055,0.18871130363077387
jump,8,20260910,64,-0.0007710705941334036,-0.004107067190708019,0.00466895671871971,0.4788837630727622,0.7542242899162772,0.5975722463548235,0.47795310787699385,0.4783216434638525
jump,8,20260910,128,-0.005785596281573165,-0.011354283241882852,0.000760928814095664,0.46040382911724764,0.7548661799082388,0.5858062240817821,0.460328092061346,0.4629913645590798
jump,8,20260911,64,-0.002631300239027052,-0.008589844966163291,0.0014688235943940817,0.42774029648038986,0.726688773866597,0.5520145580657204,0.42756733277404957,0.4286923907989781
jump,8,20260911,128,-0.004595939080858976,-0.008892552141595862,-0.0003579288713578137,0.4154367400383737,0.7082027043655656,0.5414712195272335,0.41576704778821105,0.41767788781167425
jump,8,20260912,64,-0.0038434636175040944,-0.011328256411090629,0.0024116329935551686,0.4476819456564204,0.741542497932225,0.599578544766696,0.4474396370779089,0.4491593550440471
jump,8,20260912,128,-0.007123553457608748,-0.011678025307222986,0.000583850125113119,0.43756709457812126,0.7257140241657257,0.5878923828471037,0.4371839676142365,0.440298270978346
