step,u,ess,resampled,max_abs_state,max_abs_log_increment
1,19.921951293945316,8192.000000000016,False,4.539681893891768,1.1007742443226236e-09
17,18.693923950195312,8192.000000000007,False,4.729188273666621,3.957874178334328e-09
33,17.504959106445312,8192.000000000011,False,4.223436564598805,1.2611799221646377e-08
49,16.355056762695316,8191.999999999985,False,4.978125781057148,3.712995249290342e-08
65,15.244216918945312,8191.999999999998,False,4.090405786457541,1.0931143862271133e-07
81,14.172439575195314,8191.99999999986,False,4.388247946944468,3.1379610514950764e-07
97,13.139724731445312,8191.999999999,False,4.295964418943621,8.281827281543546e-07
113,12.146072387695314,8191.9999999930915,False,4.146256329074987,2.213031767123646e-06
129,11.191482543945316,8191.999999955129,False,4.622594049296474,5.257279652016799e-06
145,10.275955200195314,8191.9999997261275,False,4.676434879475188,1.2495301185362622e-05
161,9.399490356445312,8191.999998535706,False,4.626616854017481,3.0535067048764684e-05
177,8.562088012695314,8191.999992265779,False,4.769038476993925,6.869090676151252e-05
193,7.763748168945315,8191.999962282327,False,4.298529850519748,0.0001384594348903893
209,7.004470825195313,8191.999834405744,False,4.426188881275201,0.00028371445144635856
225,6.2842559814453125,8191.999325066322,False,4.165907367795094,0.0006935911445726267
241,5.603103637695313,8191.9971692692625,False,4.6900609258425385,0.001281473192375416
257,4.9610137939453125,8191.98861079286,False,4.474317633461807,0.0024045384028341856
273,4.357986450195313,8191.947025302059,False,4.438785138298027,0.004741654475444009
289,3.794021606445312,8191.7152342819,False,4.37451778617581,0.009125301385886285
305,3.269119262695313,8190.2700024498245,False,3.9397414030922313,0.020580298265522424
321,2.783279418945312,8182.463054805463,False,4.001943150359567,0.03523782495559352
337,2.336502075195313,8147.164691541841,False,3.609639909325407,0.06445774361739891
353,1.9287872314453123,8004.678140784568,False,3.4329158367341117,0.09597226672942721
369,1.5601348876953127,7519.0616870036965,False,3.32624902819405,0.1687826275228377
385,1.2305450439453123,6203.972761030557,False,3.103090899304294,0.2160154453311233
399,0.9741973876953125,4075.9765560766878,True,2.739156523801707,0.37113091922480834
401,0.9400177001953127,8156.980149739155,False,2.9481280068492954,0.3131764021058806
417,0.6885528564453123,5988.443528881125,False,2.6761657291910406,0.4303595153137173
425,0.5774688720703125,3787.552301437978,True,2.1911121367412822,0.4710081882243639
433,0.47615051269531267,7301.585185156975,False,2.313191543229736,0.49682016720388394
445,0.34248352050781256,3946.2590673831355,True,2.065587449233703,0.4049862745772319
449,0.3028106689453124,7935.605565762366,False,2.4075025759853164,0.4540931119537983
465,0.16853332519531222,4164.350652019764,False,1.8338780866534115,0.4303934782171246
466,0.16143798828124994,3915.283351729781,True,1.850961876390083,0.3346598937113797
481,0.07331848144531243,6571.285994716039,False,1.8620693970588995,0.2646008420107798
497,0.01716613769531252,4495.058674915445,False,1.8755356661241485,0.1482489061224225
503,0.006179809570312507,4086.551493427621,True,1.8910491262794118,0.08386340126216013
512,0.0,8180.990541272221,False,2.0169831768164763,0.004957483086775978
